step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763450892.717674,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.887753,-1.397831,-2.298630,-1.068170,1.629548,-0.735101
1,1763450892.752186,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.887754,-1.397830,-2.298630,-1.068170,1.629548,-0.735099
2,1763450892.778407,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.887753,-1.397832,-2.298630,-1.068170,1.629548,-0.735099
3,1763450892.810257,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.887753,-1.397829,-2.298632,-1.068170,1.629548,-0.735103
4,1763450892.835285,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.887755,-1.397829,-2.298631,-1.068169,1.629548,-0.735099
5,1763450892.866661,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.887756,-1.397830,-2.298631,-1.068169,1.629548,-0.735098
6,1763450892.893853,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.887755,-1.397828,-2.298633,-1.068170,1.629548,-0.735102
7,1763450892.924084,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.887754,-1.397828,-2.298632,-1.068170,1.629548,-0.735102
8,1763450892.957844,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.887756,-1.397830,-2.298631,-1.068170,1.629548,-0.735097
9,1763450892.988919,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.887755,-1.397830,-2.298631,-1.068170,1.629548,-0.735098
10,1763450893.015408,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.887755,-1.397828,-2.298632,-1.068170,1.629548,-0.735102
11,1763450893.045343,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.887754,-1.397829,-2.298632,-1.068170,1.629548,-0.735102
12,1763450893.072471,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.887756,-1.397828,-2.298632,-1.068170,1.629548,-0.735099
13,1763450893.123005,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.887757,-1.397828,-2.298633,-1.068170,1.629549,-0.735099
14,1763450893.133670,0.785000,-1.330100,-2.328300,-1.069400,1.645000,-0.738600,0.888207,-1.398235,-2.298321,-1.068065,1.629550,-0.734462
15,1763450893.180619,0.785100,-1.330200,-2.328300,-1.069600,1.644900,-0.738900,0.922436,-1.429989,-2.272128,-1.059791,1.629605,-0.693898
16,1763450893.229102,0.785200,-1.330200,-2.328200,-1.070100,1.644700,-0.739600,0.922438,-1.429990,-2.272127,-1.059791,1.629605,-0.693897
17,1763450893.242530,0.785200,-1.330300,-2.327900,-1.071400,1.644000,-0.740100,0.922419,-1.429971,-2.272142,-1.059795,1.629605,-0.693913
18,1763450893.290384,0.785400,-1.330000,-2.327700,-1.073500,1.643300,-0.743300,0.922437,-1.429990,-2.272126,-1.059792,1.629606,-0.693898
19,1763450893.330808,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.922438,-1.429987,-2.272128,-1.059792,1.629607,-0.693899
20,1763450893.373679,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.922439,-1.429988,-2.272128,-1.059790,1.629607,-0.693896
21,1763450893.388143,0.786200,-1.327600,-2.328000,-1.081300,1.640800,-0.765100,0.922438,-1.429988,-2.272128,-1.059791,1.629607,-0.693900
22,1763450893.465017,0.793000,-1.327500,-2.326100,-1.093200,1.631300,-0.790100,0.922439,-1.429991,-2.272125,-1.059791,1.629607,-0.693896
