step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763447213.898794,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.844152,-1.349048,-2.301910,-1.082405,1.630759,-0.851951
1,1763447213.908960,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.844154,-1.349047,-2.301909,-1.082404,1.630759,-0.851944
2,1763447213.962434,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.844152,-1.349047,-2.301910,-1.082405,1.630759,-0.851951
3,1763447213.970829,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.844154,-1.349046,-2.301910,-1.082404,1.630759,-0.851947
4,1763447214.019806,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.844156,-1.349047,-2.301908,-1.082404,1.630759,-0.851936
5,1763447214.028760,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.844156,-1.349047,-2.301908,-1.082404,1.630759,-0.851936
6,1763447214.077021,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.844156,-1.349045,-2.301909,-1.082404,1.630759,-0.851941
7,1763447214.085557,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.844156,-1.349045,-2.301909,-1.082404,1.630759,-0.851938
8,1763447214.133927,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.844156,-1.349046,-2.301908,-1.082404,1.630759,-0.851937
9,1763447214.142070,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.844156,-1.349046,-2.301908,-1.082404,1.630759,-0.851938
10,1763447214.190537,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.844156,-1.349045,-2.301909,-1.082404,1.630759,-0.851939
11,1763447214.199076,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.844155,-1.349045,-2.301909,-1.082404,1.630759,-0.851944
12,1763447214.247394,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.844157,-1.349045,-2.301908,-1.082404,1.630759,-0.851933
13,1763447214.259179,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.844157,-1.349044,-2.301908,-1.082404,1.630759,-0.851935
14,1763447214.304116,0.785000,-1.330100,-2.328300,-1.069400,1.645000,-0.738600,0.844494,-1.349344,-2.301689,-1.082314,1.630764,-0.851147
15,1763447214.315539,0.785100,-1.330200,-2.328300,-1.069600,1.644900,-0.738900,0.874075,-1.377974,-2.280696,-1.074182,1.631199,-0.789437
16,1763447214.361261,0.785200,-1.330200,-2.328200,-1.070100,1.644700,-0.739600,0.874077,-1.377975,-2.280696,-1.074182,1.631200,-0.789433
