step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763344232.292053,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.662195,0.380505,-0.507954,0.048720,-0.049661,0.630547
1,1763344232.300028,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.662202,0.380511,-0.507956,0.048719,-0.049650,0.630550
2,1763344232.351092,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.662199,0.380503,-0.507952,0.048720,-0.049660,0.630550
3,1763344232.359592,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.662189,0.380517,-0.507960,0.048715,-0.049657,0.630542
4,1763344232.408215,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.662206,0.380517,-0.507958,0.048718,-0.049641,0.630550
5,1763344232.415421,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.662209,0.380514,-0.507957,0.048720,-0.049640,0.630552
6,1763344232.467523,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.662196,0.380525,-0.507963,0.048712,-0.049646,0.630543
7,1763344232.473249,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.662193,0.380527,-0.507962,0.048709,-0.049647,0.630543
8,1763344232.524212,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.662214,0.380516,-0.507957,0.048716,-0.049639,0.630556
9,1763344232.530622,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.662208,0.380515,-0.507956,0.048715,-0.049643,0.630553
10,1763344232.580714,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.662197,0.380525,-0.507962,0.048712,-0.049645,0.630545
11,1763344232.588283,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.662196,0.380521,-0.507961,0.048713,-0.049649,0.630544
12,1763344232.637099,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.662207,0.380526,-0.507961,0.048714,-0.049636,0.630550
