step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763453509.418591,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.774155,-1.571727,-2.112070,-1.086693,1.657845,-0.953433
1,1763453509.463525,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.773574,-1.572763,-2.110854,-1.086904,1.657809,-0.953707
2,1763453509.517060,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.773437,-1.572842,-2.110723,-1.086962,1.657804,-0.953935
3,1763453509.559205,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.773303,-1.573157,-2.110372,-1.087011,1.657794,-0.953943
4,1763453509.613818,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.773222,-1.573352,-2.110157,-1.087040,1.657788,-0.953942
5,1763453509.656766,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.773105,-1.573474,-2.109998,-1.087080,1.657782,-0.954074
6,1763453509.712409,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.773025,-1.573557,-2.109889,-1.087108,1.657778,-0.954165
7,1763453509.755153,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.773152,-1.573567,-2.109930,-1.087065,1.657783,-0.953856
8,1763453509.811260,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.773214,-1.573557,-2.109959,-1.087050,1.657786,-0.953713
9,1763453509.853307,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.773389,-1.573484,-2.110095,-1.086990,1.657795,-0.953381
10,1763453509.906686,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.773546,-1.573419,-2.110215,-1.086935,1.657802,-0.953083
11,1763453509.949517,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.773692,-1.573350,-2.110337,-1.086884,1.657809,-0.952810
12,1763453510.003308,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.773824,-1.573289,-2.110445,-1.086838,1.657816,-0.952565
