step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763798933.481559,0.787300,-1.304700,-2.344900,-1.084400,1.637800,-0.880100,0.863839,-1.402930,-2.291868,-1.063562,1.631254,-0.765818
1,1763798933.527990,0.787400,-1.304400,-2.345300,-1.083500,1.637600,-0.880800,0.864428,-1.403484,-2.291510,-1.063465,1.631262,-0.765105
2,1763798933.576369,0.787600,-1.303900,-2.345900,-1.082700,1.637400,-0.882900,0.864570,-1.403617,-2.291425,-1.063441,1.631265,-0.764933
3,1763798933.621614,0.787600,-1.303400,-2.346500,-1.081800,1.637300,-0.887100,0.864613,-1.403657,-2.291399,-1.063433,1.631265,-0.764880
4,1763798933.673014,0.787700,-1.303000,-2.346900,-1.081200,1.637200,-0.890100,0.864629,-1.403671,-2.291390,-1.063431,1.631265,-0.764861
5,1763798933.716189,0.787900,-1.302600,-2.347100,-1.081000,1.637100,-0.891000,0.864679,-1.403731,-2.291331,-1.063407,1.631263,-0.764758
6,1763798933.769413,0.788000,-1.302200,-2.347400,-1.080900,1.636900,-0.893200,0.864694,-1.403749,-2.291311,-1.063399,1.631263,-0.764724
7,1763798933.811365,0.787900,-1.301900,-2.347700,-1.080500,1.637000,-0.896700,0.864652,-1.403677,-2.291361,-1.063406,1.631261,-0.764818
8,1763798933.867522,0.788000,-1.301600,-2.348000,-1.080100,1.637000,-0.899400,0.864636,-1.403650,-2.291379,-1.063409,1.631260,-0.764853
9,1763798933.910179,0.788100,-1.301400,-2.348200,-1.079800,1.636900,-0.901300,0.864803,-1.403841,-2.291234,-1.063370,1.631260,-0.764623
10,1763798933.965247,0.788100,-1.301200,-2.348400,-1.079600,1.637100,-0.904400,0.864864,-1.403911,-2.291181,-1.063355,1.631259,-0.764539
11,1763798934.008243,0.788000,-1.300900,-2.348400,-1.080400,1.637300,-0.908700,0.866817,-1.405586,-2.290186,-1.063001,1.631249,-0.763433
12,1763798934.060865,0.787800,-1.300700,-2.348000,-1.081300,1.637500,-0.911100,0.867536,-1.406202,-2.289820,-1.062870,1.631245,-0.763025
13,1763798934.102633,0.787900,-1.300700,-2.347800,-1.081800,1.637500,-0.911900,0.853461,-1.390526,-2.301159,-1.065960,1.631082,-0.787164
14,1763798934.159963,0.788000,-1.300700,-2.347600,-1.082200,1.637300,-0.912000,0.848283,-1.384758,-2.305333,-1.067096,1.631022,-0.796042
15,1763798934.203744,0.788000,-1.300800,-2.347500,-1.082400,1.637200,-0.912400,0.855667,-1.392456,-2.299614,-1.065405,1.630959,-0.783725
16,1763798934.258494,0.788100,-1.300900,-2.347600,-1.082200,1.637100,-0.912400,0.858370,-1.395277,-2.297518,-1.064785,1.630936,-0.779203
17,1763798934.301192,0.788200,-1.301000,-2.347800,-1.081700,1.636800,-0.912400,0.859365,-1.396315,-2.296746,-1.064557,1.630928,-0.777539
18,1763798934.355982,0.788300,-1.301200,-2.348000,-1.081300,1.636700,-0.912100,0.859827,-1.396804,-2.296385,-1.064452,1.630926,-0.776763
19,1763798934.400272,0.788300,-1.301300,-2.348000,-1.081200,1.636600,-0.912100,0.855391,-1.391850,-2.300014,-1.065522,1.630809,-0.784984
20,1763798934.450753,0.788300,-1.301400,-2.347900,-1.081500,1.636600,-0.912900,0.853697,-1.389961,-2.301398,-1.065930,1.630766,-0.788111
21,1763798934.492884,0.788300,-1.301400,-2.347800,-1.082000,1.636600,-0.914600,0.851370,-1.387508,-2.303096,-1.066443,1.630755,-0.792119
22,1763798934.548635,0.788400,-1.301500,-2.347600,-1.082800,1.636600,-0.916200,0.850514,-1.386606,-2.303721,-1.066632,1.630751,-0.793593
23,1763798934.590489,0.788400,-1.301500,-2.347300,-1.083900,1.636500,-0.917500,0.850195,-1.386263,-2.303962,-1.066699,1.630754,-0.794129
24,1763798934.645281,0.788500,-1.301600,-2.347100,-1.084800,1.636400,-0.918700,0.850108,-1.386171,-2.304025,-1.066716,1.630756,-0.794269
25,1763798934.688802,0.788600,-1.301700,-2.346900,-1.085400,1.636300,-0.919700,0.849842,-1.385911,-2.304172,-1.066768,1.630761,-0.794573
26,1763798934.737160,0.788700,-1.301700,-2.346800,-1.086100,1.636300,-0.920900,0.849699,-1.385758,-2.304270,-1.066795,1.630762,-0.794790
27,1763798934.782835,0.789200,-1.301500,-2.346400,-1.088600,1.636500,-0.922000,0.849646,-1.385702,-2.304306,-1.066805,1.630762,-0.794871
28,1763798934.830591,0.790200,-1.301400,-2.345800,-1.092200,1.637000,-0.922000,0.850705,-1.386925,-2.303442,-1.066591,1.630807,-0.792415
