step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763345207.595568,0.787300,-1.304700,-2.344900,-1.084400,1.637800,-0.880100,0.949482,0.119473,-0.285156,0.243169,0.105760,0.845342
1,1763345207.653724,0.787400,-1.304400,-2.345300,-1.083500,1.637600,-0.880800,0.949496,0.119479,-0.285158,0.243169,0.105773,0.845349
2,1763345207.712083,0.787600,-1.303900,-2.345900,-1.082700,1.637400,-0.882900,0.949485,0.119471,-0.285154,0.243168,0.105761,0.845343
3,1763345207.768909,0.787600,-1.303400,-2.346500,-1.081800,1.637300,-0.887100,0.949492,0.119482,-0.285161,0.243166,0.105770,0.845346
4,1763345207.825574,0.787700,-1.303000,-2.346900,-1.081200,1.637200,-0.890100,0.949509,0.119486,-0.285161,0.243169,0.105786,0.845355
5,1763345207.881935,0.787900,-1.302600,-2.347100,-1.081000,1.637100,-0.891000,0.949509,0.119484,-0.285160,0.243169,0.105786,0.845355
6,1763345207.939000,0.788000,-1.302200,-2.347400,-1.080900,1.636900,-0.893200,0.949510,0.119491,-0.285164,0.243166,0.105786,0.845354
7,1763345207.996430,0.787900,-1.301900,-2.347700,-1.080500,1.637000,-0.896700,0.949507,0.119490,-0.285164,0.243165,0.105784,0.845354
8,1763345208.052655,0.788000,-1.301600,-2.348000,-1.080100,1.637000,-0.899400,0.949517,0.119486,-0.285159,0.243165,0.105791,0.845358
9,1763345208.109366,0.788100,-1.301400,-2.348200,-1.079800,1.636900,-0.901300,0.949509,0.119484,-0.285158,0.243166,0.105784,0.845355
10,1763345208.166716,0.788100,-1.301200,-2.348400,-1.079600,1.637100,-0.904400,0.949511,0.119491,-0.285164,0.243165,0.105788,0.845355
11,1763345208.223745,0.788000,-1.300900,-2.348400,-1.080400,1.637300,-0.908700,0.949503,0.119487,-0.285162,0.243165,0.105781,0.845351
12,1763345208.280818,0.787800,-1.300700,-2.348000,-1.081300,1.637500,-0.911100,0.949521,0.119494,-0.285164,0.243166,0.105797,0.845360
13,1763345208.339022,0.787900,-1.300700,-2.347800,-1.081800,1.637500,-0.911900,0.949528,0.119496,-0.285165,0.243165,0.105803,0.845362
14,1763345208.396592,0.788000,-1.300700,-2.347600,-1.082200,1.637300,-0.912000,0.955864,0.117044,-0.282790,0.247213,0.106899,0.847316
15,1763345208.456030,0.788000,-1.300800,-2.347500,-1.082400,1.637200,-0.912400,1.262861,-0.009617,-0.164066,0.441718,0.156570,0.929808
16,1763345208.514521,0.788100,-1.300900,-2.347600,-1.082200,1.637100,-0.912400,1.262872,-0.009616,-0.164067,0.441731,0.156615,0.929812
17,1763345208.570859,0.788200,-1.301000,-2.347800,-1.081700,1.636800,-0.912400,1.262729,-0.009551,-0.164127,0.441633,0.156576,0.929784
18,1763345208.628941,0.788300,-1.301200,-2.348000,-1.081300,1.636700,-0.912100,1.262856,-0.009616,-0.164064,0.441703,0.156625,0.929808
19,1763345208.687326,0.788300,-1.301300,-2.348000,-1.081200,1.636600,-0.912100,1.262857,-0.009609,-0.164072,0.441722,0.156700,0.929811
20,1763345208.744375,0.788300,-1.301400,-2.347900,-1.081500,1.636600,-0.912900,1.262883,-0.009610,-0.164072,0.441758,0.156694,0.929819
21,1763345208.800402,0.788300,-1.301400,-2.347800,-1.082000,1.636600,-0.914600,1.262871,-0.009612,-0.164070,0.441727,0.156670,0.929814
22,1763345208.857156,0.788400,-1.301500,-2.347600,-1.082800,1.636600,-0.916200,1.262874,-0.009620,-0.164063,0.441739,0.156675,0.929813
23,1763345208.913469,0.788400,-1.301500,-2.347300,-1.083900,1.636500,-0.917500,1.262887,-0.009616,-0.164066,0.441752,0.156756,0.929819
24,1763345208.969772,0.788500,-1.301600,-2.347100,-1.084800,1.636400,-0.918700,1.262879,-0.009610,-0.164072,0.441737,0.156682,0.929816
25,1763345209.026433,0.788600,-1.301700,-2.346900,-1.085400,1.636300,-0.919700,1.490746,-0.129220,-0.076301,0.662492,0.286420,0.975768
26,1763345209.082714,0.788700,-1.301700,-2.346800,-1.086100,1.636300,-0.920900,1.490700,-0.129198,-0.076314,0.662458,0.286423,0.975762
27,1763345209.141760,0.789200,-1.301500,-2.346400,-1.088600,1.636500,-0.922000,1.490762,-0.129213,-0.076295,0.662525,0.286509,0.975776
28,1763345209.198462,0.790200,-1.301400,-2.345800,-1.092200,1.637000,-0.922000,1.490738,-0.129223,-0.076283,0.662475,0.286457,0.975769
29,1763345209.255174,0.791900,-1.301500,-2.344900,-1.095800,1.637200,-0.920800,1.490768,-0.129218,-0.076297,0.662536,0.286527,0.975775
30,1763345209.312420,0.794700,-1.302200,-2.343600,-1.099100,1.637400,-0.916700,1.262952,-0.111963,-0.097389,0.422520,0.353889,0.927682
31,1763345209.369692,0.798500,-1.303700,-2.341800,-1.102200,1.637100,-0.910100,1.490734,-0.129220,-0.076288,0.662492,0.286501,0.975768
32,1763345209.425753,0.803800,-1.306500,-2.339200,-1.105000,1.636200,-0.899900,1.490753,-0.129221,-0.076286,0.662529,0.286543,0.975771
33,1763345209.481840,0.809600,-1.309700,-2.336400,-1.106800,1.636200,-0.891200,1.490740,-0.129216,-0.076290,0.662501,0.286500,0.975769
34,1763345209.539881,0.816100,-1.313700,-2.333100,-1.108000,1.636100,-0.880900,1.490740,-0.129216,-0.076297,0.662518,0.286506,0.975769
35,1763345209.599275,0.823100,-1.318700,-2.329200,-1.108800,1.636300,-0.869800,1.490721,-0.129219,-0.076285,0.662489,0.286536,0.975764
36,1763345209.655610,0.830600,-1.324300,-2.325000,-1.108600,1.636600,-0.859700,1.524211,-0.184138,-0.009150,0.724288,0.501294,0.980587
37,1763345209.711982,0.838500,-1.330400,-2.320500,-1.107600,1.637400,-0.851800,1.458513,-0.226425,-0.026130,0.639600,0.501662,0.965411
38,1763345209.769495,0.847100,-1.337200,-2.315700,-1.105500,1.637300,-0.842400,1.524480,-0.184211,-0.009068,0.724477,0.501359,0.980631
