step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763450572.167202,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.880055,-1.405112,-2.279352,-1.063363,1.625941,-0.664521
1,1763450572.213065,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.877644,-1.402724,-2.281145,-1.063954,1.626037,-0.667632
2,1763450572.260055,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.876834,-1.401921,-2.281748,-1.064151,1.626069,-0.668677
3,1763450572.311309,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.876426,-1.401515,-2.282052,-1.064251,1.626085,-0.669209
4,1763450572.354383,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.876110,-1.401196,-2.282289,-1.064327,1.626096,-0.669640
5,1763450572.406138,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.875899,-1.400984,-2.282446,-1.064379,1.626103,-0.669927
6,1763450572.449094,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.875862,-1.400943,-2.282473,-1.064391,1.626104,-0.669966
7,1763450572.500044,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.875874,-1.400957,-2.282462,-1.064390,1.626105,-0.669926
8,1763450572.542814,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.875885,-1.400970,-2.282452,-1.064389,1.626105,-0.669893
9,1763450572.593593,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.875893,-1.400978,-2.282446,-1.064389,1.626106,-0.669869
10,1763450572.636720,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.875905,-1.400990,-2.282437,-1.064386,1.626105,-0.669840
11,1763450572.686364,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.877712,-1.402911,-2.281027,-1.063917,1.626050,-0.667466
12,1763450572.729210,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.879241,-1.404537,-2.279833,-1.063520,1.626003,-0.665458
13,1763450572.782738,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.880551,-1.405930,-2.278811,-1.063181,1.625962,-0.663737
14,1763450572.825773,0.785000,-1.330100,-2.328300,-1.069400,1.645000,-0.738600,0.880967,-1.406308,-2.278495,-1.063098,1.625956,-0.663148
15,1763450572.876068,0.785100,-1.330200,-2.328300,-1.069600,1.644900,-0.738900,0.883713,-1.408652,-2.276524,-1.062438,1.625994,-0.659828
