step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763351813.637677,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.904100,-1.397542,-2.273352,-1.065754,1.635430,-0.606743
1,1763351813.647675,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.904102,-1.397542,-2.273353,-1.065754,1.635430,-0.606739
2,1763351813.695502,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.904101,-1.397543,-2.273352,-1.065755,1.635430,-0.606743
3,1763351813.706510,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.904100,-1.397541,-2.273353,-1.065754,1.635430,-0.606741
4,1763351813.753656,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.904103,-1.397541,-2.273353,-1.065754,1.635431,-0.606736
5,1763351813.790276,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.904103,-1.397542,-2.273353,-1.065754,1.635431,-0.606736
6,1763351813.810715,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.904102,-1.397540,-2.273354,-1.065754,1.635431,-0.606738
7,1763351813.846921,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.904101,-1.397540,-2.273353,-1.065754,1.635430,-0.606737
8,1763351813.867932,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.904104,-1.397542,-2.273352,-1.065754,1.635430,-0.606735
9,1763351813.903503,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.904103,-1.397542,-2.273352,-1.065754,1.635430,-0.606736
10,1763351813.925419,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.904102,-1.397540,-2.273354,-1.065754,1.635430,-0.606737
11,1763351814.001559,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.904101,-1.397540,-2.273353,-1.065754,1.635430,-0.606739
12,1763351814.048969,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.904103,-1.397540,-2.273353,-1.065754,1.635431,-0.606734
13,1763351814.063026,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.904104,-1.397540,-2.273354,-1.065754,1.635431,-0.606734
14,1763351814.108130,0.785000,-1.330100,-2.328300,-1.069400,1.645000,-0.738600,0.904511,-1.397851,-2.273066,-1.065666,1.635424,-0.606279
15,1763351814.119945,0.785100,-1.330200,-2.328300,-1.069600,1.644900,-0.738900,0.941229,-1.428095,-2.246841,-1.057093,1.634686,-0.573438
16,1763351814.164778,0.785200,-1.330200,-2.328200,-1.070100,1.644700,-0.739600,0.941231,-1.428095,-2.246843,-1.057093,1.634686,-0.573436
17,1763351814.177691,0.785200,-1.330300,-2.327900,-1.071400,1.644000,-0.740100,0.941214,-1.428080,-2.246854,-1.057097,1.634686,-0.573448
18,1763351814.224686,0.785400,-1.330000,-2.327700,-1.073500,1.643300,-0.743300,0.941230,-1.428094,-2.246842,-1.057094,1.634687,-0.573434
19,1763351814.235018,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.941229,-1.428091,-2.246845,-1.057093,1.634689,-0.573432
20,1763351814.280818,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.941230,-1.428093,-2.246844,-1.057091,1.634688,-0.573430
21,1763351814.294406,0.786200,-1.327600,-2.328000,-1.081300,1.640800,-0.765100,0.941229,-1.428092,-2.246844,-1.057093,1.634688,-0.573433
22,1763351814.337943,0.793000,-1.327500,-2.326100,-1.093200,1.631300,-0.790100,0.941231,-1.428095,-2.246843,-1.057093,1.634688,-0.573434
23,1763351814.351071,0.800200,-1.330200,-2.322700,-1.102100,1.623100,-0.788900,0.941231,-1.428092,-2.246845,-1.057091,1.634690,-0.573428
24,1763351814.399191,0.804300,-1.332300,-2.320500,-1.106100,1.618800,-0.783200,0.941229,-1.428091,-2.246844,-1.057092,1.634688,-0.573433
25,1763351814.440226,0.809400,-1.335100,-2.318100,-1.109000,1.614900,-0.777100,0.969226,-1.449252,-2.229563,-1.048068,1.637341,-0.562121
26,1763351814.460678,0.814900,-1.337900,-2.315600,-1.109300,1.613900,-0.773200,0.969222,-1.449248,-2.229566,-1.048069,1.637342,-0.562123
27,1763351814.498440,0.820100,-1.340000,-2.314000,-1.109100,1.615300,-0.777300,0.969226,-1.449250,-2.229563,-1.048065,1.637344,-0.562119
28,1763351814.518362,0.824500,-1.341500,-2.312700,-1.109500,1.616300,-0.784500,0.969227,-1.449252,-2.229562,-1.048068,1.637343,-0.562122
29,1763351814.555640,0.828400,-1.342600,-2.311800,-1.109700,1.615600,-0.793900,0.969229,-1.449253,-2.229562,-1.048064,1.637344,-0.562118
30,1763351814.576150,0.831900,-1.343700,-2.310900,-1.109900,1.614800,-0.802900,0.943567,-1.434584,-2.241688,-1.056809,1.638140,-0.583497
31,1763351814.614167,0.835400,-1.345100,-2.309700,-1.110400,1.613500,-0.809200,0.969225,-1.449250,-2.229563,-1.048067,1.637344,-0.562124
32,1763351814.632665,0.839300,-1.347000,-2.308100,-1.110800,1.612700,-0.811600,0.969227,-1.449252,-2.229563,-1.048064,1.637345,-0.562126
33,1763351814.701388,0.843500,-1.349400,-2.306200,-1.110700,1.612400,-0.812700,0.969226,-1.449250,-2.229563,-1.048066,1.637344,-0.562123
34,1763351814.744470,0.848100,-1.352300,-2.304100,-1.110400,1.612300,-0.811900,0.969224,-1.449249,-2.229565,-1.048065,1.637344,-0.562126
35,1763351814.780907,0.853400,-1.355500,-2.301700,-1.109500,1.612200,-0.809500,0.969222,-1.449247,-2.229565,-1.048068,1.637346,-0.562128
36,1763351814.801285,0.859500,-1.359100,-2.299100,-1.108500,1.612100,-0.805000,0.976068,-1.459293,-2.222799,-1.043197,1.642434,-0.573398
37,1763351814.837606,0.866300,-1.363200,-2.296200,-1.106700,1.612400,-0.798200,0.966077,-1.457299,-2.222747,-1.048128,1.641370,-0.581633
38,1763351814.857993,0.873900,-1.367900,-2.292800,-1.104700,1.612900,-0.789300,0.976090,-1.459301,-2.222785,-1.043189,1.642433,-0.573396
39,1763351814.895408,0.882300,-1.373400,-2.288900,-1.102200,1.612800,-0.776600,0.976093,-1.459302,-2.222785,-1.043188,1.642434,-0.573394
40,1763351814.927022,0.891000,-1.379200,-2.284800,-1.099400,1.614100,-0.764200,0.966078,-1.457302,-2.222743,-1.048131,1.641370,-0.581636
41,1763351814.951620,0.899700,-1.385300,-2.280200,-1.097200,1.615200,-0.750500,0.976096,-1.459305,-2.222783,-1.043189,1.642431,-0.573392
42,1763351814.983251,0.908100,-1.391300,-2.275700,-1.095300,1.616500,-0.736900,0.976093,-1.459305,-2.222783,-1.043189,1.642433,-0.573398
43,1763351815.013195,0.916100,-1.397200,-2.271100,-1.093200,1.617600,-0.724300,0.976090,-1.459302,-2.222785,-1.043187,1.642435,-0.573404
44,1763351815.040525,0.923800,-1.403400,-2.266300,-1.090800,1.618700,-0.712100,0.976093,-1.459303,-2.222785,-1.043189,1.642433,-0.573397
45,1763351815.069915,0.931100,-1.409400,-2.261300,-1.088500,1.619400,-0.700300,0.976090,-1.459302,-2.222785,-1.043189,1.642434,-0.573396
46,1763351815.098246,0.937900,-1.415300,-2.256400,-1.086500,1.620400,-0.689000,0.972703,-1.461454,-2.217937,-1.038591,1.647214,-0.610478
47,1763351815.151416,0.944300,-1.420600,-2.251500,-1.084400,1.621500,-0.679100,0.972706,-1.461453,-2.217938,-1.038591,1.647212,-0.610469
48,1763351815.192967,0.950200,-1.425800,-2.247000,-1.082100,1.622300,-0.670300,0.972707,-1.461453,-2.217939,-1.038592,1.647211,-0.610474
49,1763351815.208174,0.955500,-1.430600,-2.242700,-1.080000,1.622800,-0.662900,0.962635,-1.466594,-2.209794,-1.043152,1.646489,-0.609413
50,1763351815.249313,0.960400,-1.435300,-2.238800,-1.077800,1.623200,-0.656600,0.972700,-1.461454,-2.217935,-1.038592,1.647216,-0.610484
51,1763351815.265476,0.964900,-1.439600,-2.235200,-1.075900,1.623400,-0.651000,0.972700,-1.461453,-2.217936,-1.038592,1.647215,-0.610480
52,1763351815.305717,0.969000,-1.443800,-2.231700,-1.074100,1.623500,-0.646400,0.962632,-1.466596,-2.209791,-1.043153,1.646488,-0.609419
53,1763351815.324745,0.973000,-1.448000,-2.228200,-1.072600,1.623600,-0.642200,0.972706,-1.461454,-2.217939,-1.038593,1.647212,-0.610476
54,1763351815.365763,0.976700,-1.451900,-2.225000,-1.070800,1.623400,-0.638400,0.953746,-1.474785,-2.203634,-1.041375,1.651462,-0.646469
55,1763351815.381025,0.980400,-1.455600,-2.221900,-1.069100,1.623000,-0.634700,0.953754,-1.474784,-2.203636,-1.041376,1.651462,-0.646462
56,1763351815.422472,0.983800,-1.459300,-2.219000,-1.067300,1.622500,-0.630900,0.962227,-1.470891,-2.210434,-1.044706,1.648696,-0.612345
57,1763351815.437271,0.987100,-1.462900,-2.216200,-1.065500,1.622000,-0.627000,0.953750,-1.474783,-2.203637,-1.041374,1.651463,-0.646472
58,1763351815.478843,0.990000,-1.466000,-2.213600,-1.064000,1.621700,-0.623800,0.950368,-1.477048,-2.199640,-1.042057,1.653094,-0.657949
59,1763351815.493661,0.992800,-1.468600,-2.211400,-1.062600,1.621400,-0.621900,0.953729,-1.474800,-2.203620,-1.041379,1.651466,-0.646486
60,1763351815.536511,0.995000,-1.470600,-2.209700,-1.061700,1.621300,-0.621100,0.950352,-1.477060,-2.199630,-1.042057,1.653098,-0.657973
61,1763351815.589644,0.996900,-1.472000,-2.208300,-1.060900,1.621200,-0.620600,0.953744,-1.474784,-2.203636,-1.041373,1.651465,-0.646472
62,1763351815.632185,0.998100,-1.473100,-2.207400,-1.059800,1.621200,-0.620500,0.953738,-1.474795,-2.203624,-1.041377,1.651464,-0.646477
63,1763351815.645942,0.999000,-1.473900,-2.207000,-1.057900,1.621600,-0.620700,0.934732,-1.492670,-2.181936,-1.046956,1.653859,-0.652289
64,1763351815.689746,0.999600,-1.474300,-2.206800,-1.056500,1.622400,-0.620900,0.937069,-1.496273,-2.188135,-1.047974,1.654153,-0.637773
65,1763351815.720477,0.999800,-1.474500,-2.206600,-1.056200,1.624200,-0.621500,0.950347,-1.477062,-2.199625,-1.042059,1.653097,-0.657978
66,1763351815.748095,0.999800,-1.474500,-2.206300,-1.056800,1.627000,-0.622300,0.920152,-1.504978,-2.173015,-1.045154,1.655200,-0.694074
67,1763351815.776249,0.999800,-1.474600,-2.206400,-1.055500,1.629300,-0.622900,0.938396,-1.490051,-2.184124,-1.046821,1.652221,-0.654654
68,1763351815.828163,0.999700,-1.474800,-2.206600,-1.053100,1.631100,-0.623500,0.921638,-1.504042,-2.177521,-1.045692,1.655540,-0.673896
69,1763351815.835517,0.999700,-1.474900,-2.206700,-1.051900,1.632500,-0.623800,0.921629,-1.504049,-2.177513,-1.045693,1.655540,-0.673908
70,1763351815.885561,0.999700,-1.475000,-2.206900,-1.050800,1.633500,-0.624000,0.920140,-1.504990,-2.173002,-1.045154,1.655200,-0.694085
71,1763351815.893595,0.999700,-1.475100,-2.207000,-1.050000,1.634200,-0.624100,0.921633,-1.504041,-2.177523,-1.045689,1.655541,-0.673908
72,1763351815.942778,0.999600,-1.475200,-2.207200,-1.049400,1.634800,-0.624300,0.920133,-1.504995,-2.172997,-1.045156,1.655201,-0.694086
73,1763351815.949862,0.999600,-1.475300,-2.207400,-1.048800,1.635200,-0.624400,0.916109,-1.508978,-2.172843,-1.045496,1.656741,-0.688511
74,1763351815.999676,0.999600,-1.475400,-2.207500,-1.048400,1.635500,-0.624500,0.906717,-1.526877,-2.157346,-1.051625,1.656195,-0.673994
75,1763351816.009462,0.999600,-1.475500,-2.207700,-1.048300,1.635800,-0.624600,0.906848,-1.526750,-2.157463,-1.051612,1.656191,-0.673840
76,1763351816.067911,0.999500,-1.475600,-2.207900,-1.047900,1.636000,-0.624600,0.920142,-1.504990,-2.173000,-1.045156,1.655200,-0.694078
77,1763351816.080832,0.999400,-1.475900,-2.207900,-1.047400,1.636300,-0.624700,0.882214,-1.544320,-2.137903,-1.049232,1.656954,-0.722787
78,1763351816.126768,0.999300,-1.476000,-2.207900,-1.047400,1.637200,-0.624400,0.882205,-1.544334,-2.137886,-1.049236,1.656955,-0.722794
79,1763351816.137338,0.999100,-1.476200,-2.207700,-1.047800,1.639100,-0.623900,0.882216,-1.544315,-2.137906,-1.049231,1.656955,-0.722788
80,1763351816.193135,0.998400,-1.476500,-2.206900,-1.049900,1.643300,-0.623200,0.882218,-1.544315,-2.137908,-1.049230,1.656955,-0.722791
81,1763351816.209526,0.997200,-1.477300,-2.205400,-1.052700,1.647900,-0.622800,0.882189,-1.544345,-2.137881,-1.049236,1.656955,-0.722817
82,1763351816.249806,0.994900,-1.479400,-2.203300,-1.054600,1.650900,-0.624500,0.882209,-1.544330,-2.137891,-1.049237,1.656954,-0.722797
83,1763351816.265912,0.991700,-1.482500,-2.200700,-1.055400,1.652500,-0.628600,0.882219,-1.544319,-2.137903,-1.049235,1.656954,-0.722782
84,1763351816.308123,0.988000,-1.486100,-2.197900,-1.055800,1.653400,-0.633400,0.880094,-1.547440,-2.134224,-1.049971,1.657073,-0.724061
85,1763351816.345903,0.983800,-1.490200,-2.194500,-1.056500,1.654100,-0.638700,0.882203,-1.544331,-2.137893,-1.049232,1.656955,-0.722805
86,1763351816.364952,0.979100,-1.495100,-2.190500,-1.056700,1.654600,-0.643200,0.882209,-1.544327,-2.137889,-1.049235,1.656953,-0.722784
87,1763351816.402128,0.973900,-1.500800,-2.185800,-1.056200,1.654900,-0.648300,0.872363,-1.558419,-2.121243,-1.052601,1.657429,-0.728345
88,1763351816.443368,0.968500,-1.506500,-2.180200,-1.056700,1.657400,-0.653600,0.861624,-1.573109,-2.103899,-1.056096,1.657657,-0.738091
