step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763799163.233658,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.882239,-1.378126,-2.302617,-1.063421,1.630133,-0.680960
1,1763799163.240821,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.882239,-1.378125,-2.302617,-1.063421,1.630134,-0.680959
2,1763799163.291399,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.882239,-1.378126,-2.302616,-1.063422,1.630133,-0.680960
3,1763799163.299972,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.882238,-1.378124,-2.302618,-1.063422,1.630133,-0.680961
4,1763799163.348643,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.882240,-1.378125,-2.302618,-1.063421,1.630134,-0.680958
5,1763799163.357091,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.882240,-1.378125,-2.302617,-1.063421,1.630134,-0.680957
6,1763799163.407976,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.882239,-1.378123,-2.302619,-1.063422,1.630134,-0.680962
7,1763799163.414936,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.882238,-1.378123,-2.302619,-1.063422,1.630134,-0.680960
8,1763799163.465412,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.882241,-1.378125,-2.302617,-1.063422,1.630134,-0.680959
9,1763799163.484773,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.882240,-1.378125,-2.302617,-1.063422,1.630134,-0.680958
10,1763799163.522062,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.882239,-1.378123,-2.302618,-1.063422,1.630134,-0.680961
11,1763799163.541182,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.882239,-1.378124,-2.302618,-1.063422,1.630133,-0.680962
12,1763799163.578824,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.882240,-1.378123,-2.302618,-1.063422,1.630134,-0.680960
13,1763799163.598675,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.882240,-1.378123,-2.302619,-1.063422,1.630134,-0.680961
14,1763799163.635859,0.785000,-1.330100,-2.328300,-1.069400,1.645000,-0.738600,0.882379,-1.378237,-2.302530,-1.063390,1.630133,-0.680790
15,1763799163.658439,0.785100,-1.330200,-2.328300,-1.069600,1.644900,-0.738900,0.919163,-1.409830,-2.276362,-1.054584,1.629806,-0.645459
16,1763799163.692759,0.785200,-1.330200,-2.328200,-1.070100,1.644700,-0.739600,0.919164,-1.409831,-2.276362,-1.054584,1.629807,-0.645458
17,1763799163.715175,0.785200,-1.330300,-2.327900,-1.071400,1.644000,-0.740100,0.919140,-1.409809,-2.276380,-1.054590,1.629807,-0.645475
18,1763799163.750939,0.785400,-1.330000,-2.327700,-1.073500,1.643300,-0.743300,0.919164,-1.409830,-2.276362,-1.054586,1.629807,-0.645456
19,1763799163.771649,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.919163,-1.409827,-2.276364,-1.054585,1.629809,-0.645457
20,1763799163.808720,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.919164,-1.409829,-2.276364,-1.054583,1.629809,-0.645458
21,1763799163.827725,0.786200,-1.327600,-2.328000,-1.081300,1.640800,-0.765100,0.919163,-1.409827,-2.276364,-1.054585,1.629808,-0.645459
22,1763799163.865747,0.793000,-1.327500,-2.326100,-1.093200,1.631300,-0.790100,0.919165,-1.409831,-2.276362,-1.054584,1.629808,-0.645459
23,1763799163.884047,0.800200,-1.330200,-2.322700,-1.102100,1.623100,-0.788900,0.919166,-1.409829,-2.276364,-1.054583,1.629810,-0.645456
24,1763799163.921920,0.804300,-1.332300,-2.320500,-1.106100,1.618800,-0.783200,0.919163,-1.409827,-2.276365,-1.054585,1.629808,-0.645461
25,1763799163.940895,0.809400,-1.335100,-2.318100,-1.109000,1.614900,-0.777100,0.947368,-1.429424,-2.257403,-1.044425,1.631551,-0.624329
26,1763799163.978333,0.814900,-1.337900,-2.315600,-1.109300,1.613900,-0.773200,0.947364,-1.429420,-2.257406,-1.044425,1.631551,-0.624330
27,1763799163.999582,0.820100,-1.340000,-2.314000,-1.109100,1.615300,-0.777300,0.947368,-1.429421,-2.257403,-1.044422,1.631554,-0.624326
28,1763799164.035860,0.824500,-1.341500,-2.312700,-1.109500,1.616300,-0.784500,0.947369,-1.429421,-2.257402,-1.044425,1.631552,-0.624326
29,1763799164.055888,0.828400,-1.342600,-2.311800,-1.109700,1.615600,-0.793900,0.947371,-1.429426,-2.257401,-1.044421,1.631554,-0.624326
30,1763799164.092226,0.831900,-1.343700,-2.310900,-1.109900,1.614800,-0.802900,0.923069,-1.414933,-2.275060,-1.052463,1.633652,-0.648152
31,1763799164.112179,0.835400,-1.345100,-2.309700,-1.110400,1.613500,-0.809200,0.947367,-1.429420,-2.257404,-1.044424,1.631553,-0.624329
32,1763799164.149540,0.839300,-1.347000,-2.308100,-1.110800,1.612700,-0.811600,0.947369,-1.429421,-2.257403,-1.044421,1.631554,-0.624328
33,1763799164.169066,0.843500,-1.349400,-2.306200,-1.110700,1.612400,-0.812700,0.947368,-1.429420,-2.257404,-1.044423,1.631553,-0.624329
34,1763799164.210760,0.848100,-1.352300,-2.304100,-1.110400,1.612300,-0.811900,0.947365,-1.429419,-2.257405,-1.044422,1.631553,-0.624331
35,1763799164.225032,0.853400,-1.355500,-2.301700,-1.109500,1.612200,-0.809500,0.947364,-1.429416,-2.257407,-1.044425,1.631554,-0.624331
36,1763799164.267587,0.859500,-1.359100,-2.299100,-1.108500,1.612100,-0.805000,0.961105,-1.440989,-2.244972,-1.039437,1.636091,-0.621606
37,1763799164.282474,0.866300,-1.363200,-2.296200,-1.106700,1.612400,-0.798200,0.950853,-1.435823,-2.256952,-1.042286,1.635767,-0.627675
38,1763799164.325252,0.873900,-1.367900,-2.292800,-1.104700,1.612900,-0.789300,0.961145,-1.441027,-2.244944,-1.039424,1.636091,-0.621571
