step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763450491.973015,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.872037,-1.370044,-2.292607,-1.067000,1.626585,-0.730687
1,1763450492.017875,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.871738,-1.369752,-2.292830,-1.067066,1.626591,-0.731168
2,1763450492.068673,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.871637,-1.369655,-2.292905,-1.067088,1.626594,-0.731335
3,1763450492.111596,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.871998,-1.370029,-2.292635,-1.067007,1.626584,-0.730699
4,1763450492.166974,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.872216,-1.370254,-2.292474,-1.066958,1.626578,-0.730314
5,1763450492.210558,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.872348,-1.370393,-2.292377,-1.066928,1.626575,-0.730082
6,1763450492.261489,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.872443,-1.370492,-2.292307,-1.066907,1.626572,-0.729916
7,1763450492.305466,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.872513,-1.370567,-2.292255,-1.066891,1.626570,-0.729792
8,1763450492.354913,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.872540,-1.370599,-2.292231,-1.066887,1.626569,-0.729724
9,1763450492.398007,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.872562,-1.370625,-2.292212,-1.066883,1.626569,-0.729670
10,1763450492.447777,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.872555,-1.370621,-2.292214,-1.066887,1.626569,-0.729665
11,1763450492.489618,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.872549,-1.370617,-2.292215,-1.066889,1.626569,-0.729662
12,1763450492.540068,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.872544,-1.370615,-2.292216,-1.066892,1.626569,-0.729658
13,1763450492.581708,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.872540,-1.370612,-2.292217,-1.066893,1.626569,-0.729654
