step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763799070.292675,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.866168,-1.350115,-2.304538,-1.061000,1.629915,-0.782299
1,1763799070.299745,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.866169,-1.350115,-2.304539,-1.061000,1.629915,-0.782292
2,1763799070.350133,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.866168,-1.350116,-2.304538,-1.061000,1.629915,-0.782298
3,1763799070.356549,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.866168,-1.350114,-2.304540,-1.061000,1.629915,-0.782295
4,1763799070.406790,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.866170,-1.350115,-2.304540,-1.060999,1.629915,-0.782286
5,1763799070.413235,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.866170,-1.350115,-2.304540,-1.060999,1.629915,-0.782286
6,1763799070.464198,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.866169,-1.350114,-2.304541,-1.060999,1.629915,-0.782289
7,1763799070.471123,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.866169,-1.350114,-2.304541,-1.060999,1.629915,-0.782288
8,1763799070.521312,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.866171,-1.350116,-2.304540,-1.060999,1.629915,-0.782285
9,1763799070.527910,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.866170,-1.350115,-2.304540,-1.060999,1.629915,-0.782287
10,1763799070.582489,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.866169,-1.350114,-2.304541,-1.060999,1.629915,-0.782288
11,1763799070.590811,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.866169,-1.350114,-2.304541,-1.060999,1.629915,-0.782291
12,1763799070.639466,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.866170,-1.350114,-2.304541,-1.060999,1.629916,-0.782283
