step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763451791.354748,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.841926,-1.364661,-2.333534,-1.084768,1.627660,-0.840782
1,1763451791.399371,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.841844,-1.364567,-2.333589,-1.084782,1.627656,-0.841119
2,1763451791.452614,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.841817,-1.364536,-2.333607,-1.084787,1.627655,-0.841232
3,1763451791.495536,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.841804,-1.364521,-2.333616,-1.084789,1.627655,-0.841289
4,1763451791.549043,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.841796,-1.364511,-2.333621,-1.084791,1.627654,-0.841321
5,1763451791.594087,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.841750,-1.364466,-2.333652,-1.084802,1.627654,-0.841467
6,1763451791.643247,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.841718,-1.364434,-2.333673,-1.084810,1.627653,-0.841571
7,1763451791.686781,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.841694,-1.364410,-2.333690,-1.084817,1.627653,-0.841649
8,1763451791.736929,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.841671,-1.364389,-2.333704,-1.084823,1.627652,-0.841733
9,1763451791.781992,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.841652,-1.364372,-2.333716,-1.084829,1.627651,-0.841799
10,1763451791.831020,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.841604,-1.364328,-2.333746,-1.084841,1.627650,-0.841932
11,1763451791.875885,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.841564,-1.364291,-2.333771,-1.084851,1.627648,-0.842043
12,1763451791.922982,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.841739,-1.364482,-2.333655,-1.084835,1.627639,-0.841840
13,1763451791.969723,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.841889,-1.364646,-2.333556,-1.084822,1.627630,-0.841666
14,1763451792.015809,0.785000,-1.330100,-2.328300,-1.069400,1.645000,-0.738600,0.841068,-1.363824,-2.334086,-1.084995,1.627598,-0.844355
15,1763451792.063487,0.785100,-1.330200,-2.328300,-1.069600,1.644900,-0.738900,0.842363,-1.365020,-2.333176,-1.084562,1.627637,-0.842578
16,1763451792.109025,0.785200,-1.330200,-2.328200,-1.070100,1.644700,-0.739600,0.843211,-1.365789,-2.332558,-1.084241,1.627665,-0.841919
17,1763451792.159094,0.785200,-1.330300,-2.327900,-1.071400,1.644000,-0.740100,0.843963,-1.366472,-2.332010,-1.083956,1.627691,-0.841334
18,1763451792.201965,0.785400,-1.330000,-2.327700,-1.073500,1.643300,-0.743300,0.844641,-1.367087,-2.331516,-1.083699,1.627714,-0.840793
19,1763451792.252183,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.845252,-1.367641,-2.331071,-1.083468,1.627734,-0.840307
20,1763451792.295061,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.846200,-1.368511,-2.330426,-1.083168,1.627756,-0.838733
21,1763451792.345201,0.786200,-1.327600,-2.328000,-1.081300,1.640800,-0.765100,0.847062,-1.369303,-2.329840,-1.082896,1.627776,-0.837302
22,1763451792.389345,0.793000,-1.327500,-2.326100,-1.093200,1.631300,-0.790100,0.847753,-1.369932,-2.329365,-1.082666,1.627791,-0.836305
23,1763451792.440167,0.800200,-1.330200,-2.322700,-1.102100,1.623100,-0.788900,0.848387,-1.370511,-2.328929,-1.082456,1.627804,-0.835388
24,1763451792.485143,0.804300,-1.332300,-2.320500,-1.106100,1.618800,-0.783200,0.848998,-1.371067,-2.328509,-1.082256,1.627815,-0.834490
25,1763451792.533514,0.809400,-1.335100,-2.318100,-1.109000,1.614900,-0.777100,0.850599,-1.372405,-2.327623,-1.081746,1.627946,-0.832399
26,1763451792.580715,0.814900,-1.337900,-2.315600,-1.109300,1.613900,-0.773200,0.852082,-1.373643,-2.326803,-1.081273,1.628068,-0.830466
27,1763451792.625926,0.820100,-1.340000,-2.314000,-1.109100,1.615300,-0.777300,0.853438,-1.374770,-2.326056,-1.080832,1.628185,-0.828818
28,1763451792.677822,0.824500,-1.341500,-2.312700,-1.109500,1.616300,-0.784500,0.854706,-1.375826,-2.325356,-1.080420,1.628294,-0.827262
29,1763451792.719903,0.828400,-1.342600,-2.311800,-1.109700,1.615600,-0.793900,0.856104,-1.377044,-2.324554,-1.080006,1.628380,-0.824869
30,1763451792.775007,0.831900,-1.343700,-2.310900,-1.109900,1.614800,-0.802900,0.856617,-1.377528,-2.324195,-1.079923,1.628480,-0.824360
31,1763451792.819428,0.835400,-1.345100,-2.309700,-1.110400,1.613500,-0.809200,0.857797,-1.378555,-2.323524,-1.079574,1.628547,-0.822333
32,1763451792.867980,0.839300,-1.347000,-2.308100,-1.110800,1.612700,-0.811600,0.859077,-1.379684,-2.322784,-1.079207,1.628614,-0.819941
33,1763451792.912359,0.843500,-1.349400,-2.306200,-1.110700,1.612400,-0.812700,0.860282,-1.380747,-2.322087,-1.078862,1.628678,-0.817692
34,1763451792.960808,0.848100,-1.352300,-2.304100,-1.110400,1.612300,-0.811900,0.861531,-1.381858,-2.321359,-1.078511,1.628740,-0.815271
35,1763451793.005847,0.853400,-1.355500,-2.301700,-1.109500,1.612200,-0.809500,0.862709,-1.382890,-2.320679,-1.078167,1.628809,-0.813088
36,1763451793.058977,0.859500,-1.359100,-2.299100,-1.108500,1.612100,-0.805000,0.864232,-1.384199,-2.319753,-1.077739,1.628998,-0.810744
37,1763451793.101086,0.866300,-1.363200,-2.296200,-1.106700,1.612400,-0.798200,0.865353,-1.385188,-2.319037,-1.077444,1.629173,-0.809182
38,1763451793.153939,0.873900,-1.367900,-2.292800,-1.104700,1.612900,-0.789300,0.866768,-1.386406,-2.318173,-1.077046,1.629346,-0.806928
39,1763451793.196940,0.882300,-1.373400,-2.288900,-1.102200,1.612800,-0.776600,0.868173,-1.387610,-2.317323,-1.076660,1.629497,-0.804679
40,1763451793.251214,0.891000,-1.379200,-2.284800,-1.099400,1.614100,-0.764200,0.869173,-1.388488,-2.316692,-1.076405,1.629636,-0.803281
41,1763451793.293230,0.899700,-1.385300,-2.280200,-1.097200,1.615200,-0.750500,0.870470,-1.389600,-2.315910,-1.076051,1.629769,-0.801175
42,1763451793.349829,0.908100,-1.391300,-2.275700,-1.095300,1.616500,-0.736900,0.871698,-1.390659,-2.315175,-1.075719,1.629891,-0.799177
43,1763451793.392693,0.916100,-1.397200,-2.271100,-1.093200,1.617600,-0.724300,0.872883,-1.391677,-2.314459,-1.075396,1.630013,-0.797206
44,1763451793.446770,0.923800,-1.403400,-2.266300,-1.090800,1.618700,-0.712100,0.874016,-1.392623,-2.313784,-1.075073,1.630145,-0.795484
45,1763451793.489753,0.931100,-1.409400,-2.261300,-1.088500,1.619400,-0.700300,0.874979,-1.393430,-2.313208,-1.074793,1.630268,-0.794064
46,1763451793.545454,0.937900,-1.415300,-2.256400,-1.086500,1.620400,-0.689000,0.876075,-1.394557,-2.312492,-1.074430,1.630498,-0.792402
47,1763451793.587547,0.944300,-1.420600,-2.251500,-1.084400,1.621500,-0.679100,0.877090,-1.395603,-2.311834,-1.074090,1.630720,-0.790909
48,1763451793.643862,0.950200,-1.425800,-2.247000,-1.082100,1.622300,-0.670300,0.878060,-1.396606,-2.311201,-1.073767,1.630936,-0.789509
49,1763451793.685999,0.955500,-1.430600,-2.242700,-1.080000,1.622800,-0.662900,0.878570,-1.397279,-2.310770,-1.073561,1.631137,-0.789066
50,1763451793.741367,0.960400,-1.435300,-2.238800,-1.077800,1.623200,-0.656600,0.879417,-1.398138,-2.310243,-1.073270,1.631328,-0.787889
51,1763451793.784676,0.964900,-1.439600,-2.235200,-1.075900,1.623400,-0.651000,0.880247,-1.398957,-2.309724,-1.072984,1.631518,-0.786849
52,1763451793.838336,0.969000,-1.443800,-2.231700,-1.074100,1.623500,-0.646400,0.880744,-1.399577,-2.309338,-1.072785,1.631692,-0.786328
53,1763451793.880388,0.973000,-1.448000,-2.228200,-1.072600,1.623600,-0.642200,0.881611,-1.400430,-2.308802,-1.072493,1.631867,-0.785059
54,1763451793.937827,0.976700,-1.451900,-2.225000,-1.070800,1.623400,-0.638400,0.882339,-1.401421,-2.308076,-1.072223,1.632140,-0.784294
55,1763451793.979720,0.980400,-1.455600,-2.221900,-1.069100,1.623000,-0.634700,0.883133,-1.402478,-2.307318,-1.071940,1.632403,-0.783240
56,1763451794.035738,0.983800,-1.459300,-2.219000,-1.067300,1.622500,-0.630900,0.883701,-1.403180,-2.306862,-1.071782,1.632581,-0.782690
57,1763451794.079134,0.987100,-1.462900,-2.216200,-1.065500,1.622000,-0.627000,0.884302,-1.404045,-2.306237,-1.071547,1.632829,-0.782033
58,1763451794.129611,0.990000,-1.466000,-2.213600,-1.064000,1.621700,-0.623800,0.884632,-1.404808,-2.305774,-1.071389,1.633087,-0.782062
