step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763450409.961972,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.864191,-1.393857,-2.274087,-1.066324,1.629534,-0.696678
1,1763450410.008404,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.863821,-1.393545,-2.274320,-1.066408,1.629543,-0.697040
2,1763450410.058287,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.863680,-1.393413,-2.274419,-1.066439,1.629546,-0.697215
3,1763450410.104716,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.863608,-1.393334,-2.274479,-1.066455,1.629548,-0.697323
4,1763450410.152138,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.863565,-1.393286,-2.274515,-1.066465,1.629549,-0.697387
5,1763450410.197280,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.863506,-1.393223,-2.274562,-1.066478,1.629550,-0.697466
6,1763450410.246227,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.863463,-1.393177,-2.274595,-1.066488,1.629551,-0.697523
7,1763450410.290665,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.863405,-1.393116,-2.274642,-1.066500,1.629553,-0.697605
8,1763450410.339668,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.863361,-1.393068,-2.274678,-1.066510,1.629554,-0.697668
9,1763450410.383182,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.863335,-1.393044,-2.274696,-1.066515,1.629555,-0.697703
10,1763450410.433269,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.863314,-1.393024,-2.274712,-1.066519,1.629555,-0.697732
11,1763450410.476892,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.862309,-1.391946,-2.275537,-1.066726,1.629567,-0.699470
12,1763450410.526654,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.861459,-1.391034,-2.276235,-1.066901,1.629577,-0.700940
13,1763450410.569240,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.860387,-1.389904,-2.277111,-1.067122,1.629587,-0.702911
14,1763450410.620264,0.785000,-1.330100,-2.328300,-1.069400,1.645000,-0.738600,0.859470,-1.388934,-2.277863,-1.067310,1.629596,-0.704600
15,1763450410.665899,0.785100,-1.330200,-2.328300,-1.069600,1.644900,-0.738900,0.861284,-1.390352,-2.276789,-1.066796,1.629664,-0.703296
16,1763450410.717984,0.785200,-1.330200,-2.328200,-1.070100,1.644700,-0.739600,0.862884,-1.391603,-2.275840,-1.066347,1.629720,-0.702150
17,1763450410.760817,0.785200,-1.330300,-2.327900,-1.071400,1.644000,-0.740100,0.865060,-1.393438,-2.274445,-1.065786,1.629757,-0.700079
18,1763450410.816391,0.785400,-1.330000,-2.327700,-1.073500,1.643300,-0.743300,0.867008,-1.395080,-2.273196,-1.065282,1.629790,-0.698224
19,1763450410.861833,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.868398,-1.396189,-2.272355,-1.064913,1.629820,-0.697109
20,1763450410.914029,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.869658,-1.397194,-2.271591,-1.064580,1.629847,-0.696100
21,1763450410.955822,0.786200,-1.327600,-2.328000,-1.081300,1.640800,-0.765100,0.870390,-1.397726,-2.271192,-1.064363,1.629878,-0.695817
22,1763450411.010781,0.793000,-1.327500,-2.326100,-1.093200,1.631300,-0.790100,0.871057,-1.398211,-2.270829,-1.064167,1.629906,-0.695560
23,1763450411.053389,0.800200,-1.330200,-2.322700,-1.102100,1.623100,-0.788900,0.871852,-1.398841,-2.270348,-1.063949,1.629934,-0.694963
24,1763450411.106906,0.804300,-1.332300,-2.320500,-1.106100,1.618800,-0.783200,0.872583,-1.399419,-2.269907,-1.063750,1.629959,-0.694416
25,1763450411.149628,0.809400,-1.335100,-2.318100,-1.109000,1.614900,-0.777100,0.874153,-1.400726,-2.269050,-1.063248,1.630098,-0.692865
26,1763450411.206092,0.814900,-1.337900,-2.315600,-1.109300,1.613900,-0.773200,0.875634,-1.401984,-2.268206,-1.062803,1.630201,-0.691304
27,1763450411.248242,0.820100,-1.340000,-2.314000,-1.109100,1.615300,-0.777300,0.877010,-1.403152,-2.267422,-1.062389,1.630297,-0.689855
28,1763450411.299905,0.824500,-1.341500,-2.312700,-1.109500,1.616300,-0.784500,0.878289,-1.404242,-2.266684,-1.062013,1.630379,-0.688455
29,1763450411.343164,0.828400,-1.342600,-2.311800,-1.109700,1.615600,-0.793900,0.879258,-1.405051,-2.266160,-1.061708,1.630460,-0.687534
30,1763450411.393446,0.831900,-1.343700,-2.310900,-1.109900,1.614800,-0.802900,0.879164,-1.405568,-2.265733,-1.061689,1.630589,-0.687889
31,1763450411.436584,0.835400,-1.345100,-2.309700,-1.110400,1.613500,-0.809200,0.879998,-1.406229,-2.265329,-1.061409,1.630671,-0.687155
32,1763450411.488066,0.839300,-1.347000,-2.308100,-1.110800,1.612700,-0.811600,0.880851,-1.406895,-2.264929,-1.061104,1.630770,-0.686366
33,1763450411.535241,0.843500,-1.349400,-2.306200,-1.110700,1.612400,-0.812700,0.881654,-1.407522,-2.264551,-1.060817,1.630862,-0.685623
34,1763450411.582793,0.848100,-1.352300,-2.304100,-1.110400,1.612300,-0.811900,0.882392,-1.408104,-2.264197,-1.060562,1.630937,-0.684953
35,1763450411.631527,0.853400,-1.355500,-2.301700,-1.109500,1.612200,-0.809500,0.883089,-1.408654,-2.263861,-1.060320,1.631009,-0.684322
36,1763450411.675252,0.859500,-1.359100,-2.299100,-1.108500,1.612100,-0.805000,0.884035,-1.409723,-2.263015,-1.059989,1.631198,-0.683211
