step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763344710.089084,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.820694,0.335538,-0.412659,0.210424,0.124829,0.843194
1,1763344710.149981,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.820702,0.335547,-0.412661,0.210416,0.124843,0.843195
2,1763344710.208611,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.820695,0.335535,-0.412657,0.210418,0.124828,0.843193
3,1763344710.265419,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.820696,0.335550,-0.412663,0.210417,0.124840,0.843194
4,1763344710.321708,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.820709,0.335558,-0.412665,0.210414,0.124856,0.843196
5,1763344710.379606,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.820710,0.335555,-0.412664,0.210414,0.124855,0.843196
6,1763344710.436588,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.820706,0.335564,-0.412667,0.210403,0.124857,0.843194
7,1763344710.496497,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.820704,0.335560,-0.412666,0.210409,0.124854,0.843197
8,1763344710.554315,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.820712,0.335555,-0.412661,0.210395,0.124856,0.843195
9,1763344710.613556,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.820707,0.335552,-0.412661,0.210405,0.124850,0.843196
10,1763344710.671128,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.820706,0.335563,-0.412667,0.210405,0.124857,0.843195
11,1763344710.727536,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.820701,0.335557,-0.412665,0.210406,0.124849,0.843194
12,1763344710.784680,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.820712,0.335566,-0.412667,0.210401,0.124865,0.843196
13,1763344710.841380,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.820715,0.335571,-0.412666,0.210387,0.124870,0.843193
14,1763344710.901102,0.785000,-1.330100,-2.328300,-1.069400,1.645000,-0.738600,0.822748,0.334700,-0.411888,0.211656,0.124886,0.843707
15,1763344710.957425,0.785100,-1.330200,-2.328300,-1.069600,1.644900,-0.738900,1.078119,0.222741,-0.305497,0.370100,0.124566,0.900819
16,1763344711.013952,0.785200,-1.330200,-2.328200,-1.070100,1.644700,-0.739600,1.078126,0.222745,-0.305500,0.370096,0.124608,0.900815
17,1763344711.071401,0.785200,-1.330300,-2.327900,-1.071400,1.644000,-0.740100,1.078000,0.222800,-0.305549,0.370022,0.124584,0.900794
18,1763344711.130051,0.785400,-1.330000,-2.327700,-1.073500,1.643300,-0.743300,1.078122,0.222743,-0.305499,0.370078,0.124628,0.900815
19,1763344711.186575,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,1.078118,0.222755,-0.305510,0.370090,0.124707,0.900815
20,1763344711.242862,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,1.078136,0.222750,-0.305505,0.370119,0.124684,0.900822
21,1763344711.298197,0.786200,-1.327600,-2.328000,-1.081300,1.640800,-0.765100,1.078126,0.222752,-0.305506,0.370094,0.124673,0.900817
22,1763344711.355170,0.793000,-1.327500,-2.326100,-1.093200,1.631300,-0.790100,1.078129,0.222740,-0.305500,0.370093,0.124672,0.900815
23,1763344711.411826,0.800200,-1.330200,-2.322700,-1.102100,1.623100,-0.788900,1.078142,0.222752,-0.305507,0.370105,0.124753,0.900817
24,1763344711.468856,0.804300,-1.332300,-2.320500,-1.106100,1.618800,-0.783200,1.078129,0.222755,-0.305506,0.370093,0.124679,0.900816
25,1763344711.525782,0.809400,-1.335100,-2.318100,-1.109000,1.614900,-0.777100,1.269514,0.143890,-0.256951,0.583090,0.245019,0.913275
26,1763344711.585395,0.814900,-1.337900,-2.315600,-1.109300,1.613900,-0.773200,1.269440,0.143928,-0.256981,0.583036,0.245020,0.913263
27,1763344711.641013,0.820100,-1.340000,-2.314000,-1.109100,1.615300,-0.777300,1.269519,0.143899,-0.256955,0.583141,0.245115,0.913280
28,1763344711.698183,0.824500,-1.341500,-2.312700,-1.109500,1.616300,-0.784500,1.269507,0.143896,-0.256952,0.583079,0.245078,0.913267
29,1763344711.754835,0.828400,-1.342600,-2.311800,-1.109700,1.615600,-0.793900,1.269528,0.143887,-0.256954,0.583132,0.245114,0.913279
30,1763344711.814559,0.831900,-1.343700,-2.310900,-1.109900,1.614800,-0.802900,1.102884,0.192491,-0.294095,0.375527,0.298853,0.896403
31,1763344711.870767,0.835400,-1.345100,-2.309700,-1.110400,1.613500,-0.809200,1.269495,0.143900,-0.256959,0.583102,0.245118,0.913264
32,1763344711.925713,0.839300,-1.347000,-2.308100,-1.110800,1.612700,-0.811600,1.269500,0.143897,-0.256959,0.583142,0.245155,0.913268
33,1763344711.981358,0.843500,-1.349400,-2.306200,-1.110700,1.612400,-0.812700,1.269490,0.143902,-0.256961,0.583124,0.245126,0.913262
34,1763344712.037700,0.848100,-1.352300,-2.304100,-1.110400,1.612300,-0.811900,1.269486,0.143900,-0.256964,0.583144,0.245126,0.913268
35,1763344712.094547,0.853400,-1.355500,-2.301700,-1.109500,1.612200,-0.809500,1.269475,0.143908,-0.256967,0.583103,0.245169,0.913259
36,1763344712.150482,0.859500,-1.359100,-2.299100,-1.108500,1.612100,-0.805000,1.372326,0.092842,-0.207577,0.699864,0.449139,0.933739
37,1763344712.206720,0.866300,-1.363200,-2.296200,-1.106700,1.612400,-0.798200,1.284815,0.105324,-0.246427,0.593137,0.432508,0.912120
38,1763344712.263749,0.873900,-1.367900,-2.292800,-1.104700,1.612900,-0.789300,1.372799,0.092636,-0.207381,0.700195,0.449161,0.933820
39,1763344712.322963,0.882300,-1.373400,-2.288900,-1.102200,1.612800,-0.776600,1.372836,0.092626,-0.207372,0.700210,0.449202,0.933829
40,1763344712.379607,0.891000,-1.379200,-2.284800,-1.099400,1.614100,-0.764200,1.284826,0.105323,-0.246417,0.593098,0.432521,0.912114
41,1763344712.435956,0.899700,-1.385300,-2.280200,-1.097200,1.615200,-0.750500,1.372851,0.092621,-0.207365,0.700197,0.449105,0.933830
42,1763344712.492401,0.908100,-1.391300,-2.275700,-1.095300,1.616500,-0.736900,1.372831,0.092620,-0.207368,0.700197,0.449158,0.933822
43,1763344712.550276,0.916100,-1.397200,-2.271100,-1.093200,1.617600,-0.724300,1.372806,0.092618,-0.207377,0.700244,0.449231,0.933824
44,1763344712.605931,0.923800,-1.403400,-2.266300,-1.090800,1.618700,-0.712100,1.372816,0.092632,-0.207376,0.700197,0.449161,0.933819
45,1763344712.662405,0.931100,-1.409400,-2.261300,-1.088500,1.619400,-0.700300,1.372813,0.092629,-0.207377,0.700209,0.449191,0.933821
46,1763344712.719346,0.937900,-1.415300,-2.256400,-1.086500,1.620400,-0.689000,1.411185,0.054188,-0.166782,0.808667,0.669338,0.922188
47,1763344712.777887,0.944300,-1.420600,-2.251500,-1.084400,1.621500,-0.679100,1.411191,0.054198,-0.166789,0.808660,0.669273,0.922185
48,1763344712.835099,0.950200,-1.425800,-2.247000,-1.082100,1.622300,-0.670300,1.411193,0.054202,-0.166789,0.808630,0.669250,0.922183
49,1763344712.892385,0.955500,-1.430600,-2.242700,-1.080000,1.622800,-0.662900,1.321196,0.054965,-0.195835,0.709810,0.652084,0.909854
50,1763344712.948876,0.960400,-1.435300,-2.238800,-1.077800,1.623200,-0.656600,1.411176,0.054191,-0.166785,0.808643,0.669417,0.922175
51,1763344713.005848,0.964900,-1.439600,-2.235200,-1.075900,1.623400,-0.651000,1.411161,0.054206,-0.166789,0.808643,0.669387,0.922171
52,1763344713.062400,0.969000,-1.443800,-2.231700,-1.074100,1.623500,-0.646400,1.321171,0.054962,-0.195825,0.709780,0.652045,0.909847
53,1763344713.118578,0.973000,-1.448000,-2.228200,-1.072600,1.623600,-0.642200,1.411179,0.054207,-0.166793,0.808611,0.669274,0.922172
54,1763344713.174647,0.976700,-1.451900,-2.225000,-1.070800,1.623400,-0.638400,1.350028,-0.035960,-0.101076,0.805502,0.894908,0.923890
55,1763344713.234025,0.980400,-1.455600,-2.221900,-1.069100,1.623000,-0.634700,1.350081,-0.035937,-0.101092,0.805483,0.894874,0.923883
56,1763344713.290841,0.983800,-1.459300,-2.219000,-1.067300,1.622500,-0.630900,1.285385,0.056846,-0.175263,0.690499,0.674911,0.882823
57,1763344713.347103,0.987100,-1.462900,-2.216200,-1.065500,1.622000,-0.627000,1.350069,-0.035952,-0.101079,0.805495,0.894928,0.923890
58,1763344713.404850,0.990000,-1.466000,-2.213600,-1.064000,1.621700,-0.623800,1.302226,-0.012997,-0.115260,0.793006,0.908615,0.876474
59,1763344713.462278,0.992800,-1.468600,-2.211400,-1.062600,1.621400,-0.621900,1.349914,-0.036007,-0.101028,0.805435,0.895041,0.923867
