step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763452527.439103,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.774067,-1.581824,-2.104379,-1.082976,1.660382,-0.953409
1,1763452527.483698,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.774064,-1.582239,-2.103933,-1.082967,1.660373,-0.952891
2,1763452527.533747,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.773629,-1.582427,-2.103576,-1.083082,1.660343,-0.953289
3,1763452527.579880,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.773386,-1.582677,-2.103224,-1.083144,1.660324,-0.953357
4,1763452527.626193,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.773104,-1.582882,-2.102911,-1.083225,1.660304,-0.953580
5,1763452527.675329,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.772917,-1.583021,-2.102699,-1.083278,1.660290,-0.953724
6,1763452527.719173,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.772932,-1.583068,-2.102656,-1.083274,1.660291,-0.953675
7,1763452527.772188,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.772943,-1.583104,-2.102626,-1.083271,1.660291,-0.953640
8,1763452527.814974,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.772881,-1.583146,-2.102561,-1.083288,1.660287,-0.953696
9,1763452527.870433,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.772814,-1.583186,-2.102498,-1.083307,1.660282,-0.953771
10,1763452527.912292,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.772888,-1.583187,-2.102520,-1.083274,1.660285,-0.953624
11,1763452527.967403,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.772952,-1.583195,-2.102533,-1.083245,1.660287,-0.953487
12,1763452528.009232,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.771332,-1.584056,-2.101104,-1.083647,1.660166,-0.955193
13,1763452528.063686,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.769864,-1.584893,-2.099749,-1.084010,1.660055,-0.956679
14,1763452528.106658,0.785000,-1.330100,-2.328300,-1.069400,1.645000,-0.738600,0.767781,-1.585739,-2.098228,-1.084572,1.659906,-0.959565
15,1763452528.158205,0.785100,-1.330200,-2.328300,-1.069600,1.644900,-0.738900,0.764819,-1.585707,-2.097351,-1.085463,1.659720,-0.965338
16,1763452528.201135,0.785200,-1.330200,-2.328200,-1.070100,1.644700,-0.739600,0.762164,-1.585620,-2.096622,-1.086263,1.659555,-0.970571
17,1763452528.252126,0.785200,-1.330300,-2.327900,-1.071400,1.644000,-0.740100,0.759911,-1.585906,-2.095675,-1.086946,1.659411,-0.974880
18,1763452528.295087,0.785400,-1.330000,-2.327700,-1.073500,1.643300,-0.743300,0.757874,-1.586123,-2.094863,-1.087570,1.659282,-0.978839
19,1763452528.352618,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.756042,-1.586312,-2.094139,-1.088132,1.659166,-0.982406
20,1763452528.395575,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.754894,-1.585882,-2.094302,-1.088547,1.659107,-0.985780
21,1763452528.446000,0.786200,-1.327600,-2.328000,-1.081300,1.640800,-0.765100,0.755638,-1.587067,-2.093429,-1.088314,1.659136,-0.983868
22,1763452528.488621,0.793000,-1.327500,-2.326100,-1.093200,1.631300,-0.790100,0.756303,-1.588572,-2.092204,-1.088054,1.659150,-0.981730
23,1763452528.541331,0.800200,-1.330200,-2.322700,-1.102100,1.623100,-0.788900,0.757358,-1.590294,-2.090869,-1.087658,1.659185,-0.978445
24,1763452528.584030,0.804300,-1.332300,-2.320500,-1.106100,1.618800,-0.783200,0.758118,-1.592661,-2.088820,-1.087333,1.659183,-0.975282
25,1763452528.638554,0.809400,-1.335100,-2.318100,-1.109000,1.614900,-0.777100,0.758730,-1.594694,-2.087034,-1.087058,1.659177,-0.972572
26,1763452528.681648,0.814900,-1.337900,-2.315600,-1.109300,1.613900,-0.773200,0.760956,-1.597076,-2.085395,-1.086099,1.659243,-0.965682
27,1763452528.733568,0.820100,-1.340000,-2.314000,-1.109100,1.615300,-0.777300,0.761472,-1.599698,-2.082930,-1.085712,1.659204,-0.961633
28,1763452528.776237,0.824500,-1.341500,-2.312700,-1.109500,1.616300,-0.784500,0.761925,-1.602412,-2.080386,-1.085298,1.659158,-0.957642
29,1763452528.830244,0.828400,-1.342600,-2.311800,-1.109700,1.615600,-0.793900,0.761510,-1.604387,-2.078310,-1.085202,1.659073,-0.956130
30,1763452528.872854,0.831900,-1.343700,-2.310900,-1.109900,1.614800,-0.802900,0.762666,-1.606303,-2.076854,-1.084587,1.659083,-0.952011
31,1763452528.924328,0.835400,-1.345100,-2.309700,-1.110400,1.613500,-0.809200,0.763675,-1.608181,-2.075371,-1.084043,1.659088,-0.948245
32,1763452528.966870,0.839300,-1.347000,-2.308100,-1.110800,1.612700,-0.811600,0.764575,-1.609794,-2.074133,-1.083529,1.659094,-0.944933
33,1763452529.020347,0.843500,-1.349400,-2.306200,-1.110700,1.612400,-0.812700,0.765339,-1.611413,-2.072829,-1.083079,1.659093,-0.941896
34,1763452529.063063,0.848100,-1.352300,-2.304100,-1.110400,1.612300,-0.811900,0.766442,-1.612005,-2.072731,-1.082526,1.659130,-0.939555
35,1763452529.117949,0.853400,-1.355500,-2.301700,-1.109500,1.612200,-0.809500,0.767959,-1.612740,-2.072605,-1.081854,1.659189,-0.936399
36,1763452529.161082,0.859500,-1.359100,-2.299100,-1.108500,1.612100,-0.805000,0.769107,-1.613392,-2.072412,-1.081360,1.659234,-0.933828
37,1763452529.210562,0.866300,-1.363200,-2.296200,-1.106700,1.612400,-0.798200,0.770086,-1.614168,-2.072022,-1.080932,1.659266,-0.931446
38,1763452529.253127,0.873900,-1.367900,-2.292800,-1.104700,1.612900,-0.789300,0.770569,-1.614647,-2.071747,-1.080724,1.659275,-0.930215
39,1763452529.307868,0.882300,-1.373400,-2.288900,-1.102200,1.612800,-0.776600,0.770976,-1.615147,-2.071419,-1.080544,1.659280,-0.929117
40,1763452529.350441,0.891000,-1.379200,-2.284800,-1.099400,1.614100,-0.764200,0.774249,-1.614548,-2.073156,-1.079550,1.659433,-0.924158
41,1763452529.404179,0.899700,-1.385300,-2.280200,-1.097200,1.615200,-0.750500,0.777144,-1.614069,-2.074643,-1.078669,1.659570,-0.919810
42,1763452529.446717,0.908100,-1.391300,-2.275700,-1.095300,1.616500,-0.736900,0.778349,-1.613974,-2.075193,-1.078339,1.659624,-0.918046
43,1763452529.497941,0.916100,-1.397200,-2.271100,-1.093200,1.617600,-0.724300,0.779392,-1.613974,-2.075577,-1.078048,1.659670,-0.916476
44,1763452529.540550,0.923800,-1.403400,-2.266300,-1.090800,1.618700,-0.712100,0.780430,-1.613821,-2.076108,-1.077760,1.659723,-0.915101
45,1763452529.593534,0.931100,-1.409400,-2.261300,-1.088500,1.619400,-0.700300,0.781382,-1.613635,-2.076642,-1.077493,1.659771,-0.913853
46,1763452529.635107,0.937900,-1.415300,-2.256400,-1.086500,1.620400,-0.689000,0.782919,-1.613198,-2.077600,-1.077046,1.659847,-0.911625
47,1763452529.687793,0.944300,-1.420600,-2.251500,-1.084400,1.621500,-0.679100,0.784284,-1.612839,-2.078418,-1.076650,1.659914,-0.909636
48,1763452529.729321,0.950200,-1.425800,-2.247000,-1.082100,1.622300,-0.670300,0.784241,-1.612825,-2.078415,-1.076660,1.659911,-0.909606
49,1763452529.783732,0.955500,-1.430600,-2.242700,-1.080000,1.622800,-0.662900,0.784179,-1.612878,-2.078335,-1.076675,1.659907,-0.909573
50,1763452529.825476,0.960400,-1.435300,-2.238800,-1.077800,1.623200,-0.656600,0.784620,-1.612821,-2.078542,-1.076495,1.659918,-0.908383
51,1763452529.880573,0.964900,-1.439600,-2.235200,-1.075900,1.623400,-0.651000,0.784923,-1.613033,-2.078421,-1.076357,1.659918,-0.907274
52,1763452529.923325,0.969000,-1.443800,-2.231700,-1.074100,1.623500,-0.646400,0.782982,-1.613724,-2.077037,-1.076867,1.659813,-0.909434
53,1763452529.973321,0.973000,-1.448000,-2.228200,-1.072600,1.623600,-0.642200,0.781190,-1.614578,-2.075542,-1.077337,1.659709,-0.911246
54,1763452530.016165,0.976700,-1.451900,-2.225000,-1.070800,1.623400,-0.638400,0.779219,-1.615472,-2.073953,-1.077863,1.659598,-0.913451
55,1763452530.072206,0.980400,-1.455600,-2.221900,-1.069100,1.623000,-0.634700,0.777488,-1.616218,-2.072608,-1.078326,1.659499,-0.915359
56,1763452530.114988,0.983800,-1.459300,-2.219000,-1.067300,1.622500,-0.630900,0.775990,-1.616885,-2.071426,-1.078732,1.659413,-0.916999
57,1763452530.165889,0.987100,-1.462900,-2.216200,-1.065500,1.622000,-0.627000,0.774634,-1.617498,-2.070345,-1.079100,1.659335,-0.918480
58,1763452530.208363,0.990000,-1.466000,-2.213600,-1.064000,1.621700,-0.623800,0.775167,-1.616974,-2.071034,-1.078915,1.659361,-0.917482
59,1763452530.263386,0.992800,-1.468600,-2.211400,-1.062600,1.621400,-0.621900,0.775552,-1.616709,-2.071416,-1.078771,1.659378,-0.916645
60,1763452530.306243,0.995000,-1.470600,-2.209700,-1.061700,1.621300,-0.621100,0.776958,-1.616201,-2.072397,-1.078349,1.659445,-0.914439
61,1763452530.358317,0.996900,-1.472000,-2.208300,-1.060900,1.621200,-0.620600,0.778136,-1.615942,-2.073045,-1.077989,1.659498,-0.912489
62,1763452530.400857,0.998100,-1.473100,-2.207400,-1.059800,1.621200,-0.620500,0.779300,-1.615741,-2.073632,-1.077646,1.659551,-0.910591
63,1763452530.454650,0.999000,-1.473900,-2.207000,-1.057900,1.621600,-0.620700,0.780345,-1.615552,-2.074165,-1.077338,1.659597,-0.908898
64,1763452530.497296,0.999600,-1.474300,-2.206800,-1.056500,1.622400,-0.620900,0.781390,-1.615387,-2.074684,-1.077029,1.659641,-0.907124
65,1763452530.550010,0.999800,-1.474500,-2.206600,-1.056200,1.624200,-0.621500,0.782301,-1.615307,-2.075070,-1.076759,1.659679,-0.905538
66,1763452530.592762,0.999800,-1.474500,-2.206300,-1.056800,1.627000,-0.622300,0.781990,-1.615598,-2.074695,-1.076868,1.659660,-0.905953
67,1763452530.646626,0.999800,-1.474600,-2.206400,-1.055500,1.629300,-0.622900,0.781690,-1.615920,-2.074288,-1.076970,1.659639,-0.906309
68,1763452530.689179,0.999700,-1.474800,-2.206600,-1.053100,1.631100,-0.623500,0.781138,-1.616294,-2.073741,-1.077141,1.659607,-0.907039
69,1763452530.742326,0.999700,-1.474900,-2.206700,-1.051900,1.632500,-0.623800,0.780664,-1.616596,-2.073295,-1.077291,1.659579,-0.907684
70,1763452530.784872,0.999700,-1.475000,-2.206900,-1.050800,1.633500,-0.624000,0.780225,-1.616875,-2.072883,-1.077422,1.659553,-0.908273
71,1763452530.838864,0.999700,-1.475100,-2.207000,-1.050000,1.634200,-0.624100,0.779833,-1.617122,-2.072519,-1.077540,1.659529,-0.908795
72,1763452530.881553,0.999600,-1.475200,-2.207200,-1.049400,1.634800,-0.624300,0.779574,-1.617258,-2.072310,-1.077627,1.659515,-0.909238
73,1763452530.934477,0.999600,-1.475300,-2.207400,-1.048800,1.635200,-0.624400,0.779588,-1.617300,-2.072283,-1.077633,1.659514,-0.909248
74,1763452530.977257,0.999600,-1.475400,-2.207500,-1.048400,1.635500,-0.624500,0.779254,-1.617486,-2.071990,-1.077741,1.659497,-0.909742
75,1763452531.029049,0.999600,-1.475500,-2.207700,-1.048300,1.635800,-0.624600,0.779717,-1.617446,-2.072197,-1.077621,1.659515,-0.909061
76,1763452531.071614,0.999500,-1.475600,-2.207900,-1.047900,1.636000,-0.624600,0.780250,-1.617428,-2.072393,-1.077480,1.659539,-0.908272
77,1763452531.125599,0.999400,-1.475900,-2.207900,-1.047400,1.636300,-0.624700,0.780756,-1.617375,-2.072622,-1.077347,1.659561,-0.907531
78,1763452531.168141,0.999300,-1.476000,-2.207900,-1.047400,1.637200,-0.624400,0.780955,-1.617441,-2.072630,-1.077298,1.659568,-0.907233
79,1763452531.221117,0.999100,-1.476200,-2.207700,-1.047800,1.639100,-0.623900,0.781133,-1.617509,-2.072629,-1.077254,1.659575,-0.906961
80,1763452531.264073,0.998400,-1.476500,-2.206900,-1.049900,1.643300,-0.623200,0.783066,-1.616930,-2.073817,-1.076708,1.659664,-0.904011
81,1763452531.318791,0.997200,-1.477300,-2.205400,-1.052700,1.647900,-0.622800,0.784687,-1.616415,-2.074838,-1.076259,1.659740,-0.901617
82,1763452531.361672,0.994900,-1.479400,-2.203300,-1.054600,1.650900,-0.624500,0.786404,-1.615874,-2.075933,-1.075774,1.659821,-0.899058
83,1763452531.410950,0.991700,-1.482500,-2.200700,-1.055400,1.652500,-0.628600,0.787585,-1.615528,-2.076626,-1.075454,1.659878,-0.897319
84,1763452531.454621,0.988000,-1.486100,-2.197900,-1.055800,1.653400,-0.633400,0.788593,-1.615236,-2.077213,-1.075178,1.659926,-0.895815
85,1763452531.509523,0.983800,-1.490200,-2.194500,-1.056500,1.654100,-0.638700,0.789498,-1.614979,-2.077736,-1.074930,1.659970,-0.894460
86,1763452531.552118,0.979100,-1.495100,-2.190500,-1.056700,1.654600,-0.643200,0.788658,-1.615342,-2.077099,-1.075171,1.659932,-0.895743
87,1763452531.604182,0.973900,-1.500800,-2.185800,-1.056200,1.654900,-0.648300,0.787425,-1.615839,-2.076203,-1.075519,1.659873,-0.897542
88,1763452531.646766,0.968500,-1.506500,-2.180200,-1.056700,1.657400,-0.653600,0.785515,-1.616532,-2.074902,-1.076051,1.659781,-0.900349
89,1763452531.700358,0.962900,-1.512200,-2.174300,-1.058500,1.663200,-0.646800,0.783844,-1.617107,-2.073824,-1.076506,1.659698,-0.902777
90,1763452531.743166,0.956700,-1.518700,-2.167300,-1.060400,1.667800,-0.651800,0.782141,-1.617624,-2.072783,-1.076972,1.659614,-0.905249
91,1763452531.795407,0.950200,-1.525500,-2.161400,-1.059400,1.667300,-0.663900,0.780610,-1.618105,-2.071835,-1.077391,1.659537,-0.907459
