step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763447951.483419,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.871252,-1.392229,-2.296193,-1.062329,1.628618,-0.670290
1,1763447951.533872,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.871252,-1.392229,-2.296193,-1.062329,1.628618,-0.670289
2,1763447951.534247,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.871253,-1.392228,-2.296193,-1.062329,1.628618,-0.670287
3,1763447951.584705,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.871253,-1.392228,-2.296193,-1.062329,1.628618,-0.670286
4,1763447951.585078,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.871253,-1.392228,-2.296193,-1.062329,1.628619,-0.670285
5,1763447951.635536,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.871253,-1.392228,-2.296193,-1.062329,1.628619,-0.670283
6,1763447951.635936,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.871254,-1.392228,-2.296193,-1.062329,1.628619,-0.670282
7,1763447951.686500,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.871254,-1.392228,-2.296193,-1.062329,1.628619,-0.670283
8,1763447951.686983,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.871253,-1.392228,-2.296193,-1.062329,1.628619,-0.670284
9,1763447951.737487,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.871253,-1.392228,-2.296193,-1.062329,1.628619,-0.670285
10,1763447951.737928,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.871253,-1.392228,-2.296193,-1.062329,1.628618,-0.670286
11,1763447951.788320,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.871253,-1.392229,-2.296193,-1.062329,1.628618,-0.670287
12,1763447951.788789,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.871252,-1.392229,-2.296193,-1.062329,1.628618,-0.670288
13,1763447951.839211,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.871252,-1.392228,-2.296193,-1.062329,1.628618,-0.670288
14,1763447951.839685,0.785000,-1.330100,-2.328300,-1.069400,1.645000,-0.738600,0.871252,-1.392228,-2.296193,-1.062329,1.628618,-0.670288
15,1763447951.890205,0.785100,-1.330200,-2.328300,-1.069600,1.644900,-0.738900,0.871252,-1.392228,-2.296193,-1.062329,1.628618,-0.670287
16,1763447951.890790,0.785200,-1.330200,-2.328200,-1.070100,1.644700,-0.739600,0.871252,-1.392228,-2.296193,-1.062330,1.628618,-0.670287
17,1763447951.941266,0.785200,-1.330300,-2.327900,-1.071400,1.644000,-0.740100,0.871252,-1.392227,-2.296193,-1.062330,1.628619,-0.670287
18,1763447951.941872,0.785400,-1.330000,-2.327700,-1.073500,1.643300,-0.743300,0.871253,-1.392227,-2.296194,-1.062330,1.628619,-0.670286
19,1763447951.992156,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.871253,-1.392227,-2.296193,-1.062330,1.628619,-0.670285
20,1763447951.992617,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.871253,-1.392227,-2.296193,-1.062329,1.628619,-0.670283
21,1763447952.043043,0.786200,-1.327600,-2.328000,-1.081300,1.640800,-0.765100,0.871254,-1.392227,-2.296193,-1.062329,1.628619,-0.670281
22,1763447952.043458,0.793000,-1.327500,-2.326100,-1.093200,1.631300,-0.790100,0.871254,-1.392227,-2.296193,-1.062329,1.628619,-0.670280
23,1763447952.093976,0.800200,-1.330200,-2.322700,-1.102100,1.623100,-0.788900,0.871255,-1.392227,-2.296193,-1.062329,1.628619,-0.670278
24,1763447952.094440,0.804300,-1.332300,-2.320500,-1.106100,1.618800,-0.783200,0.871255,-1.392227,-2.296193,-1.062329,1.628619,-0.670276
25,1763447952.144967,0.809400,-1.335100,-2.318100,-1.109000,1.614900,-0.777100,0.871255,-1.392227,-2.296193,-1.062329,1.628619,-0.670276
26,1763447952.145546,0.814900,-1.337900,-2.315600,-1.109300,1.613900,-0.773200,0.871255,-1.392227,-2.296193,-1.062329,1.628619,-0.670276
27,1763447952.195915,0.820100,-1.340000,-2.314000,-1.109100,1.615300,-0.777300,0.871255,-1.392227,-2.296193,-1.062329,1.628619,-0.670276
28,1763447952.196414,0.824500,-1.341500,-2.312700,-1.109500,1.616300,-0.784500,0.871255,-1.392228,-2.296193,-1.062329,1.628619,-0.670276
29,1763447952.246675,0.828400,-1.342600,-2.311800,-1.109700,1.615600,-0.793900,0.871255,-1.392228,-2.296193,-1.062329,1.628619,-0.670276
