step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763447131.409370,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
1,1763447131.417549,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904788
2,1763447131.468630,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
3,1763447131.477268,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
4,1763447131.525779,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
5,1763447131.533530,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
6,1763447131.583426,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
7,1763447131.589893,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
8,1763447131.640051,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
9,1763447131.647017,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904788
10,1763447131.695810,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
11,1763447131.704114,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
12,1763447131.753042,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
13,1763447131.760478,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904788
14,1763447131.811044,0.785000,-1.330100,-2.328300,-1.069400,1.645000,-0.738600,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
15,1763447131.819009,0.785100,-1.330200,-2.328300,-1.069600,1.644900,-0.738900,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
16,1763447131.871360,0.785200,-1.330200,-2.328200,-1.070100,1.644700,-0.739600,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904788
17,1763447131.878336,0.785200,-1.330300,-2.327900,-1.071400,1.644000,-0.740100,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904788
18,1763447131.929248,0.785400,-1.330000,-2.327700,-1.073500,1.643300,-0.743300,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
19,1763447131.935933,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904788
20,1763447131.985345,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
21,1763447131.992768,0.786200,-1.327600,-2.328000,-1.081300,1.640800,-0.765100,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
22,1763447132.044159,0.793000,-1.327500,-2.326100,-1.093200,1.631300,-0.790100,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904788
23,1763447132.049516,0.800200,-1.330200,-2.322700,-1.102100,1.623100,-0.788900,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904788
24,1763447132.100526,0.804300,-1.332300,-2.320500,-1.106100,1.618800,-0.783200,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
25,1763447132.107048,0.809400,-1.335100,-2.318100,-1.109000,1.614900,-0.777100,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
26,1763447132.159016,0.814900,-1.337900,-2.315600,-1.109300,1.613900,-0.773200,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
27,1763447132.166021,0.820100,-1.340000,-2.314000,-1.109100,1.615300,-0.777300,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
28,1763447132.220573,0.824500,-1.341500,-2.312700,-1.109500,1.616300,-0.784500,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
29,1763447132.227258,0.828400,-1.342600,-2.311800,-1.109700,1.615600,-0.793900,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904788
30,1763447132.278010,0.831900,-1.343700,-2.310900,-1.109900,1.614800,-0.802900,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904789
31,1763447132.284924,0.835400,-1.345100,-2.309700,-1.110400,1.613500,-0.809200,0.749418,-1.476095,-2.222090,-1.064912,1.627351,-0.904788
