step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763351311.965106,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.880400,-1.387428,-2.296593,-1.066551,1.630771,-0.793281
1,1763351311.974382,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.880402,-1.387428,-2.296593,-1.066551,1.630772,-0.793273
2,1763351312.027298,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.880400,-1.387428,-2.296593,-1.066552,1.630771,-0.793283
3,1763351312.034069,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.880401,-1.387427,-2.296593,-1.066551,1.630772,-0.793276
4,1763351312.086467,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.880404,-1.387428,-2.296593,-1.066551,1.630772,-0.793265
5,1763351312.092876,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.880404,-1.387428,-2.296593,-1.066551,1.630772,-0.793266
6,1763351312.144254,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.880403,-1.387427,-2.296594,-1.066551,1.630772,-0.793269
7,1763351312.150783,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.880402,-1.387426,-2.296594,-1.066551,1.630772,-0.793270
8,1763351312.200695,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.880404,-1.387428,-2.296594,-1.066551,1.630772,-0.793270
9,1763351312.207535,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.880403,-1.387428,-2.296593,-1.066551,1.630772,-0.793271
10,1763351312.260759,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.880403,-1.387427,-2.296594,-1.066551,1.630772,-0.793268
11,1763351312.266333,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.880402,-1.387427,-2.296594,-1.066551,1.630772,-0.793273
12,1763351312.318349,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.880404,-1.387427,-2.296594,-1.066551,1.630772,-0.793264
13,1763351312.323704,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.880405,-1.387427,-2.296594,-1.066551,1.630772,-0.793263
14,1763351312.375568,0.785000,-1.330100,-2.328300,-1.069400,1.645000,-0.738600,0.880642,-1.387635,-2.296437,-1.066490,1.630784,-0.792701
15,1763351312.381989,0.785100,-1.330200,-2.328300,-1.069600,1.644900,-0.738900,0.910487,-1.416473,-2.275285,-1.058184,1.632244,-0.727691
16,1763351312.431701,0.785200,-1.330200,-2.328200,-1.070100,1.644700,-0.739600,0.910489,-1.416474,-2.275285,-1.058183,1.632245,-0.727686
17,1763351312.438534,0.785200,-1.330300,-2.327900,-1.071400,1.644000,-0.740100,0.910472,-1.416458,-2.275297,-1.058188,1.632244,-0.727720
18,1763351312.489089,0.785400,-1.330000,-2.327700,-1.073500,1.643300,-0.743300,0.910488,-1.416473,-2.275284,-1.058185,1.632246,-0.727694
19,1763351312.498698,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.910489,-1.416472,-2.275284,-1.058183,1.632248,-0.727693
20,1763351312.548617,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.910490,-1.416474,-2.275284,-1.058181,1.632247,-0.727681
21,1763351312.555972,0.786200,-1.327600,-2.328000,-1.081300,1.640800,-0.765100,0.910490,-1.416472,-2.275284,-1.058183,1.632247,-0.727690
22,1763351312.605765,0.793000,-1.327500,-2.326100,-1.093200,1.631300,-0.790100,0.910490,-1.416474,-2.275283,-1.058183,1.632247,-0.727693
23,1763351312.611711,0.800200,-1.330200,-2.322700,-1.102100,1.623100,-0.788900,0.910493,-1.416474,-2.275282,-1.058182,1.632249,-0.727684
24,1763351312.662535,0.804300,-1.332300,-2.320500,-1.106100,1.618800,-0.783200,0.910490,-1.416473,-2.275284,-1.058182,1.632247,-0.727688
25,1763351312.670359,0.809400,-1.335100,-2.318100,-1.109000,1.614900,-0.777100,0.940922,-1.442829,-2.260657,-1.048398,1.634154,-0.695748
26,1763351312.720812,0.814900,-1.337900,-2.315600,-1.109300,1.613900,-0.773200,0.940912,-1.442820,-2.260668,-1.048401,1.634153,-0.695760
27,1763351312.728004,0.820100,-1.340000,-2.314000,-1.109100,1.615300,-0.777300,0.940922,-1.442828,-2.260659,-1.048395,1.634156,-0.695738
28,1763351312.777893,0.824500,-1.341500,-2.312700,-1.109500,1.616300,-0.784500,0.940923,-1.442828,-2.260658,-1.048398,1.634155,-0.695745
29,1763351312.784440,0.828400,-1.342600,-2.311800,-1.109700,1.615600,-0.793900,0.940924,-1.442831,-2.260656,-1.048395,1.634156,-0.695738
30,1763351312.836349,0.831900,-1.343700,-2.310900,-1.109900,1.614800,-0.802900,0.916110,-1.425836,-2.271695,-1.056817,1.636627,-0.738100
31,1763351312.842336,0.835400,-1.345100,-2.309700,-1.110400,1.613500,-0.809200,0.940922,-1.442828,-2.260659,-1.048397,1.634155,-0.695747
32,1763351312.893967,0.839300,-1.347000,-2.308100,-1.110800,1.612700,-0.811600,0.940923,-1.442829,-2.260659,-1.048394,1.634157,-0.695738
33,1763351312.900362,0.843500,-1.349400,-2.306200,-1.110700,1.612400,-0.812700,0.940922,-1.442828,-2.260660,-1.048396,1.634156,-0.695745
34,1763351312.953599,0.848100,-1.352300,-2.304100,-1.110400,1.612300,-0.811900,0.940921,-1.442827,-2.260660,-1.048395,1.634156,-0.695747
35,1763351312.959105,0.853400,-1.355500,-2.301700,-1.109500,1.612200,-0.809500,0.940920,-1.442824,-2.260661,-1.048397,1.634157,-0.695751
36,1763351313.009655,0.859500,-1.359100,-2.299100,-1.108500,1.612100,-0.805000,0.954179,-1.455520,-2.246004,-1.043620,1.638911,-0.676963
