step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763454742.680189,0.787300,-1.304700,-2.344900,-1.084400,1.637800,-0.880100,0.873767,-1.401296,-2.296527,-1.058485,1.630615,-0.656337
1,1763454742.725023,0.787400,-1.304400,-2.345300,-1.083500,1.637600,-0.880800,0.873728,-1.401246,-2.296560,-1.058491,1.630617,-0.656436
2,1763454742.775865,0.787600,-1.303900,-2.345900,-1.082700,1.637400,-0.882900,0.873526,-1.401019,-2.296732,-1.058532,1.630628,-0.656759
3,1763454742.821281,0.787600,-1.303400,-2.346500,-1.081800,1.637300,-0.887100,0.873615,-1.401078,-2.296676,-1.058510,1.630621,-0.656724
4,1763454742.868958,0.787700,-1.303000,-2.346900,-1.081200,1.637200,-0.890100,0.873646,-1.401098,-2.296657,-1.058502,1.630619,-0.656712
5,1763454742.914400,0.787900,-1.302600,-2.347100,-1.081000,1.637100,-0.891000,0.873658,-1.401106,-2.296649,-1.058499,1.630618,-0.656708
6,1763454742.961136,0.788000,-1.302200,-2.347400,-1.080900,1.636900,-0.893200,0.873663,-1.401109,-2.296647,-1.058498,1.630618,-0.656706
7,1763454743.008973,0.787900,-1.301900,-2.347700,-1.080500,1.637000,-0.896700,0.873667,-1.401113,-2.296643,-1.058497,1.630617,-0.656702
8,1763454743.054094,0.788000,-1.301600,-2.348000,-1.080100,1.637000,-0.899400,0.873703,-1.401164,-2.296610,-1.058495,1.630617,-0.656602
9,1763454743.104865,0.788100,-1.301400,-2.348200,-1.079800,1.636900,-0.901300,0.873716,-1.401182,-2.296598,-1.058494,1.630616,-0.656565
10,1763454743.147856,0.788100,-1.301200,-2.348400,-1.079600,1.637100,-0.904400,0.873870,-1.401309,-2.296490,-1.058459,1.630604,-0.656444
11,1763454743.199852,0.788000,-1.300900,-2.348400,-1.080400,1.637300,-0.908700,0.873926,-1.401356,-2.296450,-1.058446,1.630599,-0.656400
12,1763454743.242722,0.787800,-1.300700,-2.348000,-1.081300,1.637500,-0.911100,0.873984,-1.401412,-2.296405,-1.058431,1.630593,-0.656344
13,1763454743.295820,0.787900,-1.300700,-2.347800,-1.081800,1.637500,-0.911900,0.874004,-1.401432,-2.296389,-1.058426,1.630591,-0.656325
14,1763454743.337703,0.788000,-1.300700,-2.347600,-1.082200,1.637300,-0.912000,0.862301,-1.389383,-2.305692,-1.060965,1.630869,-0.674374
15,1763454743.391712,0.788000,-1.300800,-2.347500,-1.082400,1.637200,-0.912400,0.857996,-1.384950,-2.309115,-1.061898,1.630971,-0.681011
16,1763454743.433648,0.788100,-1.300900,-2.347600,-1.082200,1.637100,-0.912400,0.869940,-1.396064,-2.300109,-1.059112,1.630289,-0.667070
17,1763454743.486571,0.788200,-1.301000,-2.347800,-1.081700,1.636800,-0.912400,0.874333,-1.400151,-2.296796,-1.058087,1.630038,-0.661943
18,1763454743.528580,0.788300,-1.301200,-2.348000,-1.081300,1.636700,-0.912100,0.874682,-1.400456,-2.296539,-1.058040,1.630062,-0.661310
19,1763454743.581741,0.788300,-1.301300,-2.348000,-1.081200,1.636600,-0.912100,0.874890,-1.400649,-2.296382,-1.058005,1.630069,-0.660955
20,1763454743.623761,0.788300,-1.301400,-2.347900,-1.081500,1.636600,-0.912900,0.862233,-1.388185,-2.306149,-1.060873,1.630475,-0.679202
21,1763454743.679241,0.788300,-1.301400,-2.347800,-1.082000,1.636600,-0.914600,0.857486,-1.383514,-2.309811,-1.061948,1.630629,-0.686022
22,1763454743.721328,0.788400,-1.301500,-2.347600,-1.082800,1.636600,-0.916200,0.857072,-1.383207,-2.310145,-1.062099,1.630688,-0.685811
23,1763454743.773190,0.788400,-1.301500,-2.347300,-1.083900,1.636500,-0.917500,0.858230,-1.384440,-2.309276,-1.061886,1.630711,-0.683269
24,1763454743.815261,0.788500,-1.301600,-2.347100,-1.084800,1.636400,-0.918700,0.858655,-1.384893,-2.308956,-1.061808,1.630719,-0.682335
25,1763454743.869639,0.788600,-1.301700,-2.346900,-1.085400,1.636300,-0.919700,0.858898,-1.385144,-2.308773,-1.061760,1.630720,-0.681867
26,1763454743.913173,0.788700,-1.301700,-2.346800,-1.086100,1.636300,-0.920900,0.857492,-1.383876,-2.309779,-1.062053,1.630798,-0.683737
27,1763454743.962412,0.789200,-1.301500,-2.346400,-1.088600,1.636500,-0.922000,0.859879,-1.386096,-2.308044,-1.061544,1.630709,-0.680373
28,1763454744.005291,0.790200,-1.301400,-2.345800,-1.092200,1.637000,-0.922000,0.860748,-1.386904,-2.307413,-1.061359,1.630676,-0.679153
29,1763454744.059739,0.791900,-1.301500,-2.344900,-1.095800,1.637200,-0.920800,0.861068,-1.387201,-2.307181,-1.061290,1.630664,-0.678704
30,1763454744.102216,0.794700,-1.302200,-2.343600,-1.099100,1.637400,-0.916700,0.861024,-1.387125,-2.307222,-1.061299,1.630652,-0.678907
31,1763454744.156456,0.798500,-1.303700,-2.341800,-1.102200,1.637100,-0.910100,0.861018,-1.387107,-2.307230,-1.061300,1.630647,-0.678968
32,1763454744.199561,0.803800,-1.306500,-2.339200,-1.105000,1.636200,-0.899900,0.860996,-1.387082,-2.307247,-1.061305,1.630646,-0.679018
33,1763454744.250682,0.809600,-1.309700,-2.336400,-1.106800,1.636200,-0.891200,0.859486,-1.385703,-2.308328,-1.061647,1.630704,-0.681066
34,1763454744.293380,0.816100,-1.313700,-2.333100,-1.108000,1.636100,-0.880900,0.858907,-1.385178,-2.308741,-1.061778,1.630729,-0.681843
35,1763454744.346148,0.823100,-1.318700,-2.329200,-1.108800,1.636300,-0.869800,0.858695,-1.384985,-2.308893,-1.061826,1.630738,-0.682126
36,1763454744.388205,0.830600,-1.324300,-2.325000,-1.108600,1.636600,-0.859700,0.857259,-1.383502,-2.309983,-1.062075,1.630763,-0.684835
37,1763454744.442771,0.838500,-1.330400,-2.320500,-1.107600,1.637400,-0.851800,0.856731,-1.382956,-2.310384,-1.062167,1.630772,-0.685831
38,1763454744.486197,0.847100,-1.337200,-2.315700,-1.105500,1.637300,-0.842400,0.856567,-1.382787,-2.310507,-1.062195,1.630774,-0.686142
39,1763454744.535631,0.856300,-1.344700,-2.310600,-1.102100,1.636900,-0.831800,0.856490,-1.382706,-2.310566,-1.062208,1.630773,-0.686296
40,1763454744.578570,0.865700,-1.352300,-2.305600,-1.097800,1.637800,-0.823800,0.856461,-1.382676,-2.310588,-1.062213,1.630773,-0.686352
41,1763454744.631567,0.874800,-1.360000,-2.300000,-1.095000,1.637800,-0.814000,0.856460,-1.382674,-2.310589,-1.062214,1.630773,-0.686355
42,1763454744.673351,0.884100,-1.368400,-2.293800,-1.092600,1.638200,-0.801100,0.859610,-1.385443,-2.308352,-1.061535,1.630578,-0.682550
43,1763454744.726238,0.894000,-1.377800,-2.286600,-1.090400,1.636800,-0.782600,0.860769,-1.386462,-2.307529,-1.061286,1.630507,-0.681150
44,1763454744.769177,0.904100,-1.387800,-2.279400,-1.086500,1.638400,-0.766200,0.861167,-1.386703,-2.307291,-1.061185,1.630442,-0.681080
45,1763454744.822360,0.923900,-1.407700,-2.263800,-1.081000,1.639700,-0.733300,0.861313,-1.386792,-2.307204,-1.061148,1.630419,-0.681054
46,1763454744.864133,0.933500,-1.417700,-2.255800,-1.078500,1.640700,-0.717100,0.861391,-1.386848,-2.307154,-1.061129,1.630409,-0.680999
47,1763454744.917018,0.942900,-1.427800,-2.247500,-1.075800,1.641600,-0.700500,0.861398,-1.386849,-2.307150,-1.061126,1.630407,-0.681005
48,1763454744.960107,0.951800,-1.437600,-2.239100,-1.073400,1.641800,-0.683600,0.861399,-1.386847,-2.307152,-1.061127,1.630406,-0.681005
49,1763454745.013612,0.960700,-1.447600,-2.230400,-1.071000,1.641800,-0.667200,0.861399,-1.386847,-2.307152,-1.061128,1.630406,-0.681002
50,1763454745.056449,0.969100,-1.457000,-2.221900,-1.068600,1.641600,-0.652600,0.859417,-1.384978,-2.308595,-1.061566,1.630446,-0.684005
51,1763454745.107485,0.977200,-1.466100,-2.213900,-1.066200,1.641000,-0.639500,0.858130,-1.383791,-2.309522,-1.061850,1.630492,-0.685836
52,1763454745.149458,0.984300,-1.473800,-2.206700,-1.064600,1.640300,-0.628900,0.857656,-1.383355,-2.309863,-1.061955,1.630509,-0.686510
53,1763454745.202362,0.990800,-1.480700,-2.200500,-1.063000,1.638800,-0.619700,0.857482,-1.383194,-2.309988,-1.061994,1.630515,-0.686758
54,1763454745.244404,0.996200,-1.486100,-2.195500,-1.061400,1.637300,-0.613300,0.856808,-1.382603,-2.310467,-1.062144,1.630558,-0.687554
55,1763454745.297922,1.000200,-1.489800,-2.192100,-1.059600,1.636100,-0.609300,0.856573,-1.382398,-2.310633,-1.062196,1.630574,-0.687827
56,1763454745.339763,1.003100,-1.492300,-2.189800,-1.057300,1.636000,-0.607000,0.856724,-1.382491,-2.310542,-1.062156,1.630550,-0.687797
57,1763454745.393474,1.005000,-1.494000,-2.188600,-1.054600,1.637200,-0.606000,0.856780,-1.382525,-2.310508,-1.062141,1.630542,-0.687786
58,1763454745.435267,1.006200,-1.495200,-2.187900,-1.051300,1.639000,-0.605600,0.859097,-1.384469,-2.308886,-1.061640,1.630345,-0.685377
59,1763454745.488246,1.007000,-1.496100,-2.187700,-1.048100,1.640800,-0.605400,0.859954,-1.385187,-2.308287,-1.061454,1.630273,-0.684486
60,1763454745.530166,1.007500,-1.496800,-2.187700,-1.045500,1.642000,-0.605200,0.861280,-1.386383,-2.307327,-1.061166,1.630201,-0.682763
61,1763454745.583381,1.008000,-1.497200,-2.187900,-1.043900,1.642600,-0.605100,0.861766,-1.386822,-2.306975,-1.061060,1.630175,-0.682131
62,1763454745.625394,1.008200,-1.497700,-2.188000,-1.042500,1.643200,-0.605200,0.860660,-1.385846,-2.307774,-1.061330,1.630233,-0.683390
63,1763454745.678668,1.008400,-1.498000,-2.188200,-1.041400,1.643700,-0.605200,0.860238,-1.385475,-2.308078,-1.061432,1.630256,-0.683869
64,1763454745.720558,1.008600,-1.498200,-2.188500,-1.040500,1.644400,-0.605200,0.861232,-1.386391,-2.307358,-1.061206,1.630221,-0.682465
65,1763454745.774317,1.008500,-1.498500,-2.188700,-1.039800,1.645100,-0.605500,0.861590,-1.386722,-2.307099,-1.061124,1.630208,-0.681959
66,1763454745.816424,1.008500,-1.498600,-2.188900,-1.039600,1.645600,-0.605700,0.860331,-1.385590,-2.308008,-1.061395,1.630284,-0.683530
67,1763454745.869733,1.008500,-1.498900,-2.189000,-1.039700,1.646400,-0.605900,0.859876,-1.385181,-2.308336,-1.061492,1.630312,-0.684098
