step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763454964.683815,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.782092,-1.591930,-2.074851,-1.083481,1.659157,-0.878866
1,1763454964.728218,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.781731,-1.592745,-2.073999,-1.083572,1.659143,-0.878548
2,1763454964.781339,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.781695,-1.592666,-2.074049,-1.083587,1.659143,-0.878636
3,1763454964.823463,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.781245,-1.593114,-2.073530,-1.083717,1.659125,-0.878965
4,1763454964.879488,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.780976,-1.593391,-2.073211,-1.083795,1.659114,-0.879158
5,1763454964.920300,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.780799,-1.593570,-2.073004,-1.083846,1.659106,-0.879284
6,1763454964.975575,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.780674,-1.593698,-2.072856,-1.083882,1.659101,-0.879374
7,1763454965.017497,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.780753,-1.593732,-2.072836,-1.083857,1.659105,-0.879158
8,1763454965.067837,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.780756,-1.593731,-2.072825,-1.083858,1.659106,-0.879090
9,1763454965.115256,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.780782,-1.593735,-2.072821,-1.083851,1.659107,-0.879008
10,1763454965.160602,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.780848,-1.593699,-2.072868,-1.083832,1.659110,-0.878902
11,1763454965.211839,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.781001,-1.593618,-2.072977,-1.083786,1.659116,-0.878688
12,1763454965.257327,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.781037,-1.593778,-2.072946,-1.083768,1.659105,-0.879018
13,1763454965.306442,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.781028,-1.594077,-2.072770,-1.083761,1.659092,-0.879255
14,1763454965.351795,0.785000,-1.330100,-2.328300,-1.069400,1.645000,-0.738600,0.777955,-1.594433,-2.071759,-1.084699,1.658961,-0.884858
15,1763454965.402611,0.785100,-1.330200,-2.328300,-1.069600,1.644900,-0.738900,0.775109,-1.594820,-2.070775,-1.085566,1.658839,-0.889989
16,1763454965.446684,0.785200,-1.330200,-2.328200,-1.070100,1.644700,-0.739600,0.772555,-1.595232,-2.069838,-1.086343,1.658729,-0.894557
17,1763454965.498039,0.785200,-1.330300,-2.327900,-1.071400,1.644000,-0.740100,0.770270,-1.595558,-2.069038,-1.087040,1.658630,-0.898677
18,1763454965.541737,0.785400,-1.330000,-2.327700,-1.073500,1.643300,-0.743300,0.767882,-1.595849,-2.068190,-1.087757,1.658532,-0.902951
19,1763454965.593603,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.765747,-1.596052,-2.067481,-1.088399,1.658445,-0.906827
